"Godthåbsvej 20D, 3., 2000 Frederiksberg"
"Bispeengen 18B, 2000 Frederiksberg"
"Bentzonsvej 16, 2., 2000 Frederiksberg"
"Julius Valentiners Vej 14, kl., 2000 Frederiksberg"
"Julius Valentiners Vej 18, kl., 2000 Frederiksberg"
"Nitivej 10, st., 2000 Frederiksberg"
"Nitivej 10, 2., 2000 Frederiksberg"
"Nitivej 10, 2000 Frederiksberg"
"Nitivej 10, 1., 2000 Frederiksberg"
"Nitivej 10, 3., 2000 Frederiksberg"
"Godthåbsvej 130, 2000 Frederiksberg"
"Godthåbsvej 96, kl., 2000 Frederiksberg"
"Godthåbsvej 96, st. th, 2000 Frederiksberg"
"Godthåbsvej 96, st. tv, 2000 Frederiksberg"
"Godthåbsvej 96, 1., 2000 Frederiksberg"
"Godthåbsvej 96, 2000 Frederiksberg"
"Godthåbsvej 96, st., 2000 Frederiksberg"
"Godthåbsvej 101A, st. 2, 2000 Frederiksberg"
"Godthåbsvej 101A, st. 3, 2000 Frederiksberg"
"Godthåbsvej 101A, st. 4, 2000 Frederiksberg"
"Godthåbsvej 101A, st. 1, 2000 Frederiksberg"
"Godthåbsvej 101A, 2000 Frederiksberg"
"Solsortvej 64, 2000 Frederiksberg"
"Solsortvej 64, st., 2000 Frederiksberg"
"Solsortvej 64, 2., 2000 Frederiksberg"
"Christian Paulsens Vej 15, st. th, 2000 Frederiksberg"
"Rolfsvej 3, st. th, 2000 Frederiksberg"
"Rolfsvej 3, st., 2000 Frederiksberg"
"Bispeengen 18C, 2000 Frederiksberg"
"Langelandsvej 42, 3. tv, 2000 Frederiksberg"
"Nordre Fasanvej 109B, 2. tv, 2000 Frederiksberg"
"Nordre Fasanvej 109B, 2. th, 2000 Frederiksberg"
"Nordre Fasanvej 161, 5., 2000 Frederiksberg"
"Bentzonsvej 16, 2. tv, 2000 Frederiksberg"
"Bentzonsvej 16, 2. th, 2000 Frederiksberg"
"Sindshvilevej 11A, st. tv, 2000 Frederiksberg"
"Smallegade 40B, 1., 2000 Frederiksberg"
"Smallegade 40B, 1. th, 2000 Frederiksberg"
"Smallegade 40B, 1. tv, 2000 Frederiksberg"
"Godthåbsvej 64D, 1., 2000 Frederiksberg"
"Solsortvej 64, 1., 2000 Frederiksberg"
"Rolfsvej 3, st. tv, 2000 Frederiksberg"
"Bag Søndermarken 7, st. tv, 2000 Frederiksberg"
"Bag Søndermarken 7, st. th, 2000 Frederiksberg"
"Bag Søndermarken 7, 1. tv, 2000 Frederiksberg"
"Bag Søndermarken 7, 1. th, 2000 Frederiksberg"
"Bag Søndermarken 7, 2. tv, 2000 Frederiksberg"
"Bag Søndermarken 7, 2. th, 2000 Frederiksberg"
"Bag Søndermarken 7, 3. tv, 2000 Frederiksberg"
"Bag Søndermarken 7, 3. th, 2000 Frederiksberg"
"Bag Søndermarken 7, 4. tv, 2000 Frederiksberg"
"Bag Søndermarken 7, 4. th, 2000 Frederiksberg"
"Bag Søndermarken 5, 2000 Frederiksberg"
"Bag Søndermarken 5, st. tv, 2000 Frederiksberg"
"Bag Søndermarken 5, st. mf, 2000 Frederiksberg"
"Bag Søndermarken 5, st. th, 2000 Frederiksberg"
"Bag Søndermarken 5, 1. tv, 2000 Frederiksberg"
"Bag Søndermarken 5, 1. mf, 2000 Frederiksberg"
"Bag Søndermarken 5, 1. th, 2000 Frederiksberg"
"Bag Søndermarken 5, 2. tv, 2000 Frederiksberg"
"Bag Søndermarken 5, 2. mf, 2000 Frederiksberg"
"Bag Søndermarken 5, 2. th, 2000 Frederiksberg"
"Bag Søndermarken 5, 3. tv, 2000 Frederiksberg"
"Bag Søndermarken 5, 3. mf, 2000 Frederiksberg"
"Bag Søndermarken 5, 3. th, 2000 Frederiksberg"
"Bag Søndermarken 5, 4. tv, 2000 Frederiksberg"
"Bag Søndermarken 5, 4. mf, 2000 Frederiksberg"
"Bag Søndermarken 5, 4. th, 2000 Frederiksberg"
"Roarsvej 11, kl. tv, 2000 Frederiksberg"
"Roarsvej 11, kl. th, 2000 Frederiksberg"
"Bag Søndermarken 9, st., 2000 Frederiksberg"
"Bag Søndermarken 9, 1., 2000 Frederiksberg"
"Bag Søndermarken 9, 2., 2000 Frederiksberg"
"Bag Søndermarken 9, 3., 2000 Frederiksberg"
"Bag Søndermarken 9, 4., 2000 Frederiksberg"
"Nordre Fasanvej 159, 5., 2000 Frederiksberg"
"Segelckesvej 5, kl., 2000 Frederiksberg"
"Betty Nansens Alle 55A, 2000 Frederiksberg"
"Betty Nansens Plads 6, 2000 Frederiksberg"
"Betty Nansens Plads 4, 2000 Frederiksberg"
"Azaleavej 30, st., 2000 Frederiksberg"
"Howitzvej 63B, 4., 2000 Frederiksberg"
"Rådmand Steins Alle 35, st., 2000 Frederiksberg"
"Henning Matzens Vej 21, kl., 2000 Frederiksberg"
"Sønderjyllands Alle 7, kl., 2000 Frederiksberg"
"Sønderjyllands Alle 19, kl., 2000 Frederiksberg"
"Mørk Hansens Vej 16, kl., 2000 Frederiksberg"
"Hattensens Alle 2, kl., 2000 Frederiksberg"
"Dirch Passers Allé 2, 1., 2000 Frederiksberg"
"Dirch Passers Allé 2, st., 2000 Frederiksberg"
"Nyelandsvej 18A, 2000 Frederiksberg"
"Nyelandsvej 103, 2., 2000 Frederiksberg"
"Godthåbsvej 24B, st. th, 2000 Frederiksberg"
"Godthåbsvej 24B, 3. th, 2000 Frederiksberg"
"Godthåbsvej 24B, 3. tv, 2000 Frederiksberg"
"Godthåbsvej 24B, 4. th, 2000 Frederiksberg"
"Godthåbsvej 24B, 5. th, 2000 Frederiksberg"
"Godthåbsvej 24B, 5. tv, 2000 Frederiksberg"
"Godthåbsvej 24B, 2., 2000 Frederiksberg"
"Godthåbsvej 24B, 1., 2000 Frederiksberg"
"Godthåbsvej 24C, st. th, 2000 Frederiksberg"
"Godthåbsvej 24C, st. tv, 2000 Frederiksberg"
"Godthåbsvej 24C, 2. th, 2000 Frederiksberg"
"Godthåbsvej 24C, 2. tv, 2000 Frederiksberg"
"Godthåbsvej 24C, 4. th, 2000 Frederiksberg"
"Godthåbsvej 24C, 4. tv, 2000 Frederiksberg"
"Godthåbsvej 24C, 3., 2000 Frederiksberg"
"Godthåbsvej 24C, 1., 2000 Frederiksberg"
"Godthåbsvej 24C, 5., 2000 Frederiksberg"
"Godthåbsvej 26B, kl., 2000 Frederiksberg"
"Godthåbsvej 26B, st., 2000 Frederiksberg"
"Godthåbsvej 26B, 1., 2000 Frederiksberg"
"Godthåbsvej 26B, 2., 2000 Frederiksberg"
"Godthåbsvej 26B, 3., 2000 Frederiksberg"
"Godthåbsvej 26B, 2000 Frederiksberg"
"Godthåbsvej 26C, 2000 Frederiksberg"
"Godthåbsvej 28B, st., 2000 Frederiksberg"
"Elga Olgas Vej 1, 1. th, 2000 Frederiksberg"
"Elga Olgas Vej 1, 4., 2000 Frederiksberg"
"Elga Olgas Vej 1, st. th, 2000 Frederiksberg"
"Elga Olgas Vej 1, st. tv, 2000 Frederiksberg"
"Elga Olgas Vej 1, 5., 2000 Frederiksberg"
"Elga Olgas Vej 1, 3. tv, 2000 Frederiksberg"
"Elga Olgas Vej 1, 2. th, 2000 Frederiksberg"
"Elga Olgas Vej 1, 2. tv, 2000 Frederiksberg"
"Elga Olgas Vej 1, 3. th, 2000 Frederiksberg"
"Elga Olgas Vej 1, 1. tv, 2000 Frederiksberg"
"Elga Olgas Vej 3, 1. th, 2000 Frederiksberg"
"Elga Olgas Vej 3, st. tv, 2000 Frederiksberg"
"Elga Olgas Vej 3, st. th, 2000 Frederiksberg"
"Elga Olgas Vej 3, 1. tv, 2000 Frederiksberg"
"Elga Olgas Vej 3, 2. tv, 2000 Frederiksberg"
"Elga Olgas Vej 3, 3. th, 2000 Frederiksberg"
"Elga Olgas Vej 3, 3. tv, 2000 Frederiksberg"
"Elga Olgas Vej 3, 2. th, 2000 Frederiksberg"
"Falkoner Alle 6, 4., 2000 Frederiksberg"
"Dirch Passers Allé 3, st. tv, 2000 Frederiksberg"
"Dirch Passers Allé 3, st. th, 2000 Frederiksberg"
"Dirch Passers Allé 9, 4. tv, 2000 Frederiksberg"
"Dirch Passers Allé 9, 4. th, 2000 Frederiksberg"
"Dirch Passers Allé 11, 1. th, 2000 Frederiksberg"
"Dirch Passers Allé 11, 2. tv, 2000 Frederiksberg"
"Dirch Passers Allé 11, 3. th, 2000 Frederiksberg"
"Dirch Passers Allé 11, 2. th, 2000 Frederiksberg"
"Dirch Passers Allé 11, 1. tv, 2000 Frederiksberg"
"Dirch Passers Allé 11, 3. tv, 2000 Frederiksberg"
"Dirch Passers Allé 11, 4. tv, 2000 Frederiksberg"
"Dirch Passers Allé 11, st. tv, 2000 Frederiksberg"
"Dirch Passers Allé 11, st. th, 2000 Frederiksberg"
"Dirch Passers Allé 11, 5., 2000 Frederiksberg"
"Dirch Passers Allé 11, 4. th, 2000 Frederiksberg"
"Dirch Passers Allé 13, 1. th, 2000 Frederiksberg"
"Dirch Passers Allé 13, 1. tv, 2000 Frederiksberg"
"Dirch Passers Allé 13, 2. th, 2000 Frederiksberg"
"Dirch Passers Allé 13, 3. th, 2000 Frederiksberg"
"Dirch Passers Allé 13, st. tv, 2000 Frederiksberg"
"Dirch Passers Allé 13, st. th, 2000 Frederiksberg"
"Dirch Passers Allé 13, 4. tv, 2000 Frederiksberg"
"Dirch Passers Allé 13, 4. th, 2000 Frederiksberg"
"Dirch Passers Allé 13, 3. tv, 2000 Frederiksberg"
"Dirch Passers Allé 13, 2. tv, 2000 Frederiksberg"
"Dirch Passers Allé 15, 1. th, 2000 Frederiksberg"
"Dirch Passers Allé 15, st. tv, 2000 Frederiksberg"
"Dirch Passers Allé 15, 5. tv, 2000 Frederiksberg"
"Dirch Passers Allé 15, 5. th, 2000 Frederiksberg"
"Dirch Passers Allé 15, 4. tv, 2000 Frederiksberg"
"Dirch Passers Allé 15, 4. th, 2000 Frederiksberg"
"Dirch Passers Allé 15, 3. th, 2000 Frederiksberg"
"Nordre Fasanvej 187, 1. tv, 2000 Frederiksberg"
"Dirch Passers Allé 15, 2. tv, 2000 Frederiksberg"
"Nordre Fasanvej 187, 3., 2000 Frederiksberg"
"Dirch Passers Allé 15, 2. th, 2000 Frederiksberg"
"Nordre Fasanvej 187, 1. th, 2000 Frederiksberg"
"Dirch Passers Allé 15, 1. tv, 2000 Frederiksberg"
"Holger Danskes Vej 6, 4., 2000 Frederiksberg"
"Nitivej 3A, 1., 2000 Frederiksberg"
"Nitivej 3A, 2., 2000 Frederiksberg"
"Nitivej 3A, st., 2000 Frederiksberg"
"Nordre Fasanvej 70, 5., 2000 Frederiksberg"
"Nordre Fasanvej 70, 3., 2000 Frederiksberg"
"Roarsvej 36, st., 2000 Frederiksberg"
"Rolfsvej 13, 3., 2000 Frederiksberg"
"Sindshvilevej 22, st., 2000 Frederiksberg"
"Sønderjyllands Alle 2, 2000 Frederiksberg"
"Sønderjyllands Alle 4, 2000 Frederiksberg"
"Nordre Fasanvej 187, 3. tv, 2000 Frederiksberg"
"Nordre Fasanvej 187, 3. th, 2000 Frederiksberg"
"Sindshvilevej 11A, st., 2000 Frederiksberg"
"Sindshvilevej 11A, st. th, 2000 Frederiksberg"
"Dirch Passers Allé 3, 5. tv, 2000 Frederiksberg"
"Dirch Passers Allé 3, 5. th, 2000 Frederiksberg"
"Dirch Passers Allé 9, 5., 2000 Frederiksberg"
"Dirch Passers Allé 13, 5. th, 2000 Frederiksberg"
"Frederiksvej 47, 1., 2000 Frederiksberg"
"Langelandsvej 14, 2., 2000 Frederiksberg"
"Nordre Fasanvej 109B, 2., 2000 Frederiksberg"
"Sindshvilevej 23, st., 2000 Frederiksberg"
"Frederiksvej 23, 4. tv, 2000 Frederiksberg"
"Frederiksvej 23, 4. th, 2000 Frederiksberg"
"Philip Schous Vej 42, st., 2000 Frederiksberg"
"Falkoner Alle 58D, 2000 Frederiksberg"
"V.E. Gamborgs Vej 2, st., 2000 Frederiksberg"
"Godthåbsvej 36C, 2., 2000 Frederiksberg"
"Holger Danskes Vej 6, 1., 2000 Frederiksberg"
"Nordre Fasanvej 121, 5., 2000 Frederiksberg"
"Nordre Fasanvej 123, 5., 2000 Frederiksberg"
"Philip Schous Vej 36, 2., 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 1. 1, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 1. 2, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 1. 4, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 2. 3, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 2. 2, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 2. 1, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 1. 3, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 2. 4, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 5. th, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 4. 4, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 4. 3, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 4. 2, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 4. 1, 2000 Frederiksberg"
"H.V. Nyholms Vej 2, 3. 4, 2000 Frederiksberg"
