"Bygmestervej 3, 2400 København NV"
"Bygmestervej 3, 1., 2400 København NV"
"Landsdommervej 11, 2. th, 2400 København NV"
"Esther Ammundsens Vej 38A, 2400 København NV"
"Esther Ammundsens Vej 38B, 2400 København NV"
"Dortheavej 1, kl., 2400 København NV"
"Glentevej 70B, 2., 2400 København NV"
"Fyrbødervej 3, 2400 København NV"
"Fyrbødervej 6A, st. tv, 2400 København NV"
"Fyrbødervej 6A, st. th, 2400 København NV"
"Fyrbødervej 6A, 1. tv, 2400 København NV"
"Fyrbødervej 6A, 1. th, 2400 København NV"
"Fyrbødervej 6A, 2. tv, 2400 København NV"
"Fyrbødervej 6A, 2. th, 2400 København NV"
"Fyrbødervej 6A, 3. tv, 2400 København NV"
"Fyrbødervej 6A, 3. th, 2400 København NV"
"Fyrbødervej 6A, 4. tv, 2400 København NV"
"Fyrbødervej 6A, 4. th, 2400 København NV"
"Fyrbødervej 6A, 5. tv, 2400 København NV"
"Fyrbødervej 6A, 5. th, 2400 København NV"
"Fyrbødervej 6A, 6. tv, 2400 København NV"
"Fyrbødervej 6A, 6. th, 2400 København NV"
"Fyrbødervej 6B, st. tv, 2400 København NV"
"Fyrbødervej 6B, st. th, 2400 København NV"
"Fyrbødervej 6B, 1. tv, 2400 København NV"
"Fyrbødervej 6B, 1. th, 2400 København NV"
"Fyrbødervej 6B, 2. tv, 2400 København NV"
"Fyrbødervej 6B, 2. th, 2400 København NV"
"Fyrbødervej 6B, 3. tv, 2400 København NV"
"Fyrbødervej 6B, 3. th, 2400 København NV"
"Fyrbødervej 6B, 4. tv, 2400 København NV"
"Fyrbødervej 6B, 4. th, 2400 København NV"
"Fyrbødervej 6B, 5. tv, 2400 København NV"
"Fyrbødervej 6B, 5. th, 2400 København NV"
"Fyrbødervej 6B, 6. tv, 2400 København NV"
"Fyrbødervej 6B, 6. th, 2400 København NV"
"Fyrbødervej 6C, st. tv, 2400 København NV"
"Fyrbødervej 6C, st. th, 2400 København NV"
"Fyrbødervej 6C, 1. tv, 2400 København NV"
"Fyrbødervej 6C, 1. th, 2400 København NV"
"Fyrbødervej 6C, 2. tv, 2400 København NV"
"Fyrbødervej 6C, 2. th, 2400 København NV"
"Fyrbødervej 6C, 3. tv, 2400 København NV"
"Fyrbødervej 6C, 3. th, 2400 København NV"
"Fyrbødervej 6C, 4. tv, 2400 København NV"
"Fyrbødervej 6C, 4. th, 2400 København NV"
"Fyrbødervej 6C, 5. tv, 2400 København NV"
"Fyrbødervej 6C, 5. th, 2400 København NV"
"Fyrbødervej 6D, st. tv, 2400 København NV"
"Fyrbødervej 6D, st. th, 2400 København NV"
"Fyrbødervej 6D, 1. tv, 2400 København NV"
"Fyrbødervej 6D, 1. th, 2400 København NV"
"Fyrbødervej 6D, 2. tv, 2400 København NV"
"Fyrbødervej 6D, 2. th, 2400 København NV"
"Fyrbødervej 6D, 3. tv, 2400 København NV"
"Fyrbødervej 6D, 3. th, 2400 København NV"
"Fyrbødervej 6D, 4. tv, 2400 København NV"
"Fyrbødervej 6D, 4. th, 2400 København NV"
"Fyrbødervej 6D, 5. tv, 2400 København NV"
"Fyrbødervej 6D, 5. th, 2400 København NV"
"Fyrbødervej 4A, st. tv, 2400 København NV"
"Fyrbødervej 4A, st. mf, 2400 København NV"
"Fyrbødervej 4A, st. th, 2400 København NV"
"Fyrbødervej 4A, 1. tv, 2400 København NV"
"Fyrbødervej 4A, 1. mf, 2400 København NV"
"Fyrbødervej 4A, 1. th, 2400 København NV"
"Fyrbødervej 4A, 2. tv, 2400 København NV"
"Fyrbødervej 4A, 2. mf, 2400 København NV"
"Fyrbødervej 4A, 2. th, 2400 København NV"
"Fyrbødervej 4A, 3. tv, 2400 København NV"
"Fyrbødervej 4A, 3. mf, 2400 København NV"
"Fyrbødervej 4A, 3. th, 2400 København NV"
"Fyrbødervej 4A, 4. tv, 2400 København NV"
"Fyrbødervej 4A, 4. mf, 2400 København NV"
"Fyrbødervej 4A, 4. th, 2400 København NV"
"Fyrbødervej 4B, st. tv, 2400 København NV"
"Fyrbødervej 4B, st. mf, 2400 København NV"
"Fyrbødervej 4B, st. th, 2400 København NV"
"Fyrbødervej 4B, 1. tv, 2400 København NV"
"Fyrbødervej 4B, 1. mf, 2400 København NV"
"Fyrbødervej 4B, 1. th, 2400 København NV"
"Fyrbødervej 4B, 2. tv, 2400 København NV"
"Fyrbødervej 4B, 2. mf, 2400 København NV"
"Fyrbødervej 4B, 2. th, 2400 København NV"
"Fyrbødervej 4B, 3. tv, 2400 København NV"
"Fyrbødervej 4B, 3. mf, 2400 København NV"
"Fyrbødervej 4B, 3. th, 2400 København NV"
"Fyrbødervej 4C, st. tv, 2400 København NV"
"Fyrbødervej 4C, 1. tv, 2400 København NV"
"Fyrbødervej 4C, 2. tv, 2400 København NV"
"Fyrbødervej 4C, 3. tv, 2400 København NV"
"Fyrbødervej 4C, st. th, 2400 København NV"
"Fyrbødervej 4C, 1. th, 2400 København NV"
"Fyrbødervej 4C, 2. th, 2400 København NV"
"Fyrbødervej 4C, 3. th, 2400 København NV"
"Fyrbødervej 7, st. 1, 2400 København NV"
