"Annexgårdsvej 11, Kirke Værløse, 3500 Værløse"
"Poppel Alle 38A, Hareskov, 3500 Værløse"
"Bøgehaven 1, 3500 Værløse"
"Lejrvej 9, Kirke Værløse, 3500 Værløse"
"Lejrvej 7, Kirke Værløse, 3500 Værløse"
"Præstevænget 10, Kirke Værløse, 3500 Værløse"
"Ryetvej 20, 1. 1047, 3500 Værløse"
"Ryetvej 20, 1. 1049, 3500 Værløse"
"Ryetvej 20, 1. 1048, 3500 Værløse"
"Ryetvej 20, 1. 1050, 3500 Værløse"
"Ryetvej 20, 1. 1063, 3500 Værløse"
"Ryetvej 20, 1. 1053, 3500 Værløse"
"Ryetvej 20, 1. 1055, 3500 Værløse"
"Ryetvej 20, 1. 1038, 3500 Værløse"
"Ryetvej 20, 1. g117, 3500 Værløse"
"Ryetvej 20, 1. 1037, 3500 Værløse"
"Ryetvej 20, 1. 1036, 3500 Værløse"
"Ryetvej 20, 1. 1057, 3500 Værløse"
"Ryetvej 20, 1. 1056, 3500 Værløse"
"Ryetvej 20, 1. 1043, 3500 Værløse"
"Ryetvej 20, 1. 1042, 3500 Værløse"
"Ryetvej 20, 1. 1041, 3500 Værløse"
"Ryetvej 20, 1. 1040, 3500 Værløse"
"Ryetvej 20, 1. 1039, 3500 Værløse"
"Ryetvej 20, 2. 2088, 3500 Værløse"
"Ryetvej 20, 2. 2087, 3500 Værløse"
"Ryetvej 20, 1., 3500 Værløse"
"Ryetvej 20, 1. 1046, 3500 Værløse"
"Ryetvej 20, 1. 1045, 3500 Værløse"
"Ryetvej 20, 1. 1044, 3500 Værløse"
"Ryetvej 20, 1. g129, 3500 Værløse"
"Ryetvej 20, 2. 2079, 3500 Værløse"
"Ryetvej 20, 2. 2078, 3500 Værløse"
"Ryetvej 20, 2. 2077, 3500 Værløse"
"Ryetvej 20, 2. 2076, 3500 Værløse"
"Ryetvej 20, 2. 2075, 3500 Værløse"
"Ryetvej 20, 2. 2074, 3500 Værløse"
"Ryetvej 20, 2. 2073, 3500 Værløse"
"Ryetvej 20, 2. 2072, 3500 Værløse"
"Ryetvej 20, 2. 2071, 3500 Værløse"
"Ryetvej 20, 3500 Værløse"
"Ryetvej 20, st., 3500 Værløse"
"Ryetvej 20, st. 19, 3500 Værløse"
"Ryetvej 20, st. 18, 3500 Værløse"
"Ryetvej 20, st. 27, 3500 Værløse"
"Ryetvej 20, st. 28, 3500 Værløse"
"Ryetvej 20, st. 16, 3500 Værløse"
"Ryetvej 20, st. 15, 3500 Værløse"
"Ryetvej 20, st. 11, 3500 Værløse"
"Ryetvej 20, st. 10, 3500 Værløse"
"Ryetvej 20, st. 9, 3500 Værløse"
"Ryetvej 20, st. 14, 3500 Værløse"
"Ryetvej 20, st. g29, 3500 Værløse"
"Ryetvej 20, st. 8, 3500 Værløse"
"Ryetvej 20, st. 7, 3500 Værløse"
"Ryetvej 20, st. 6, 3500 Værløse"
"Ryetvej 20, st. 5, 3500 Værløse"
"Ryetvej 20, st. 4, 3500 Værløse"
"Ryetvej 20, st. 13, 3500 Værløse"
"Ryetvej 20, st. 3, 3500 Værløse"
"Ryetvej 20, st. g17, 3500 Værløse"
"Ryetvej 20, st. 2, 3500 Værløse"
"Ryetvej 20, st. 1, 3500 Værløse"
"Ryetvej 20, st. 22, 3500 Værløse"
"Ryetvej 20, st. 21, 3500 Værløse"
"Ryetvej 20, st. 20, 3500 Værløse"
"Ryetvej 20, st. 12, 3500 Værløse"
"Ryetvej 20, kl., 3500 Værløse"
"Ryetvej 20, 2., 3500 Værløse"
"Ryetvej 20, 2. 2086, 3500 Værløse"
"Ryetvej 20, 2. 2085, 3500 Værløse"
"Ryetvej 20, 2. 2084, 3500 Værløse"
"Ryetvej 20, 2. 2083, 3500 Værløse"
"Ryetvej 20, 2. 2082, 3500 Værløse"
"Ryetvej 20, 2. 2081, 3500 Værløse"
"Ryetvej 20, 2. 2080, 3500 Værløse"
"Ryetvej 20, 2. 2095, 3500 Værløse"
"Ryetvej 20, 2. 2094, 3500 Værløse"
"Ryetvej 20, 2. 2093, 3500 Værløse"
"Ryetvej 20, 2. 2092, 3500 Værløse"
"Ryetvej 20, 2. 2091, 3500 Værløse"
"Ryetvej 20, 2. 2100, 3500 Værløse"
"Ryetvej 20, 2. 2101, 3500 Værløse"
"Ryetvej 20, 2. 2089, 3500 Værløse"
"Ryetvej 20, 1. 1054, 3500 Værløse"
"Ryetvej 20, 1. 1062, 3500 Værløse"
"Ryetvej 20, 1. 1051, 3500 Værløse"
"Åkandevej 34, 3500 Værløse"
"Rolighedsvej 53B, Hareskov, 3500 Værløse"
"Rolighedsvej 53C, Hareskov, 3500 Værløse"
"Tibberup Alle 16B, Hareskov, 3500 Værløse"
"Bymidten 9, 3500 Værløse"
"Lille Værløsevej 80, 3500 Værløse"
"Lærkehaven 1, 3500 Værløse"
"Søndersøvej 39, 3500 Værløse"
"Kirke Værløsevej 26, st. 2b, 3500 Værløse"
"Evavej 33, 3500 Værløse"
"Lejrvej 51, Kirke Værløse, 3500 Værløse"
"Lejrvej 53, Kirke Værløse, 3500 Værløse"
"Lejrvej 55, Kirke Værløse, 3500 Værløse"
"Lejrvej 57, Kirke Værløse, 3500 Værløse"
"Lejrvej 59, Kirke Værløse, 3500 Værløse"
"Lejrvej 61, Kirke Værløse, 3500 Værløse"
"Lejrvej 63, Kirke Værløse, 3500 Værløse"
"Lejrvej 65, Kirke Værløse, 3500 Værløse"
"Lejrvej 67, Kirke Værløse, 3500 Værløse"
"Lejrvej 69, Kirke Værløse, 3500 Værløse"
"Lejrvej 71, Kirke Værløse, 3500 Værløse"
"Lejrvej 73, Kirke Værløse, 3500 Værløse"
"Lejrvej 75, Kirke Værløse, 3500 Værløse"
"Lejrvej 77, Kirke Værløse, 3500 Værløse"
"Vestre Alle 1, Kirke Værløse, 3500 Værløse"
"Vestre Alle 2, Kirke Værløse, 3500 Værløse"
"Vestre Alle 3, Kirke Værløse, 3500 Værløse"
"Vestre Alle 4, Kirke Værløse, 3500 Værløse"
"Vestre Alle 5, Kirke Værløse, 3500 Værløse"
"Vestre Alle 7, Kirke Værløse, 3500 Værløse"
"Vestre Alle 9, Kirke Værløse, 3500 Værløse"
"Vestre Alle 13, Kirke Værløse, 3500 Værløse"
"Vestre Alle 15, Kirke Værløse, 3500 Værløse"
"Vestre Alle 17, Kirke Værløse, 3500 Værløse"
"Vestre Alle 19, Kirke Værløse, 3500 Værløse"
"Vestre Alle 22, Kirke Værløse, 3500 Værløse"
"Vestre Alle 24, Kirke Værløse, 3500 Værløse"
"Vestre Alle 44, Kirke Værløse, 3500 Værløse"
"Vestre Alle 46, Kirke Værløse, 3500 Værløse"
"Vestre Alle 64, Kirke Værløse, 3500 Værløse"
"Vestre Alle 66, Kirke Værløse, 3500 Værløse"
"Østre Alle 2, Kirke Værløse, 3500 Værløse"
"Østre Alle 4, Kirke Værløse, 3500 Værløse"
"Østre Alle 6, Kirke Værløse, 3500 Værløse"
"Østre Alle 8, Kirke Værløse, 3500 Værløse"
"Østre Alle 10, Kirke Værløse, 3500 Værløse"
"Østre Alle 12, Kirke Værløse, 3500 Værløse"
"Østre Alle 14, Kirke Værløse, 3500 Værløse"
"Østre Alle 16, Kirke Værløse, 3500 Værløse"
"Skovgårds Alle 25, 3500 Værløse"
"Skovgårds Alle 27, 3500 Værløse"
"Birkelien 8B, Kirke Værløse, 3500 Værløse"
"Bringevej 101, Jonstrup, 3500 Værløse"
"Bringevej 103, Jonstrup, 3500 Værløse"
"Bringevej 105, Jonstrup, 3500 Værløse"
"Bringevej 107, Jonstrup, 3500 Værløse"
"Bringevej 109A, Jonstrup, 3500 Værløse"
"Bringevej 109B, Jonstrup, 3500 Værløse"
"Bringevej 111, Jonstrup, 3500 Værløse"
"Bringevej 113, Jonstrup, 3500 Værløse"
"Bringevej 115, Jonstrup, 3500 Værløse"
"Bymidten 44, 3500 Værløse"
"Højeloft Vænge 38, 3500 Værløse"
"Vestre Alle 26, Kirke Værløse, 3500 Værløse"
"Vestre Alle 28, Kirke Værløse, 3500 Værløse"
"Vestre Alle 30, Kirke Værløse, 3500 Værløse"
"Vestre Alle 32, Kirke Værløse, 3500 Værløse"
"Vestre Alle 34, Kirke Værløse, 3500 Værløse"
"Vestre Alle 36, Kirke Værløse, 3500 Værløse"
"Vestre Alle 38, Kirke Værløse, 3500 Værløse"
"Vestre Alle 40, Kirke Værløse, 3500 Værløse"
"Vestre Alle 42, Kirke Værløse, 3500 Værløse"
"Vestre Alle 48, Kirke Værløse, 3500 Værløse"
"Vestre Alle 50, Kirke Værløse, 3500 Værløse"
"Vestre Alle 52, Kirke Værløse, 3500 Værløse"
"Vestre Alle 54, Kirke Værløse, 3500 Værløse"
"Vestre Alle 56, Kirke Værløse, 3500 Værløse"
"Vestre Alle 58, Kirke Værløse, 3500 Værløse"
"Vestre Alle 60, Kirke Værløse, 3500 Værløse"
"Vestre Alle 62, Kirke Værløse, 3500 Værløse"
"Vestre Alle 68, Kirke Værløse, 3500 Værløse"
"Vestre Alle 70, Kirke Værløse, 3500 Værløse"
"Vestre Alle 72, Kirke Værløse, 3500 Værløse"
"Vestre Alle 74, Kirke Værløse, 3500 Værløse"
"Vestre Alle 76, Kirke Værløse, 3500 Værløse"
"Vestre Alle 78, Kirke Værløse, 3500 Værløse"
"Vestre Alle 80, Kirke Værløse, 3500 Værløse"
"Vestre Alle 82, Kirke Værløse, 3500 Værløse"
"Vestre Alle 6, Kirke Værløse, 3500 Værløse"
"Vestre Alle 8, Kirke Værløse, 3500 Værløse"
"Vestre Alle 10, Kirke Værløse, 3500 Værløse"
"Vestre Alle 12, Kirke Værløse, 3500 Værløse"
"Vestre Alle 14, Kirke Værløse, 3500 Værløse"
"Vestre Alle 16, Kirke Værløse, 3500 Værløse"
"Vestre Alle 18, Kirke Værløse, 3500 Værløse"
