"Granlyet 2, 3540 Lynge"
"Slangerupvej 6A, 3540 Lynge"
"Slangerupvej 6D, 3540 Lynge"
"Slangerupvej 6B, 3540 Lynge"
"Slangerupvej 6C, 3540 Lynge"
"Slangerupvej 4, 3540 Lynge"
"Slangerupvej 6D, st. tv, 3540 Lynge"
"Slangerupvej 6D, st. 2, 3540 Lynge"
"Slangerupvej 6D, 1, 3540 Lynge"
"Slangerupvej 6D, st. 1, 3540 Lynge"
"Slangerupvej 6D, st. th, 3540 Lynge"
"Slangerupvej 6D, 2, 3540 Lynge"
"Slangerupvej 6D, 1, 3540 Lynge"
"Gladgårdsvænge 65A, 3540 Lynge"
"Gladgårdsvænge 65B, 3540 Lynge"
"Gladgårdsvænge 65C, 3540 Lynge"
"Gladgårdsvænge 65D, 3540 Lynge"
"Højrisvej 7, 3540 Lynge"
"Uvelsevej 1, 3540 Lynge"
"Stenhusvej 1, 3540 Lynge"
"Birkevangen 3, 3540 Lynge"
"Lyngevej 251, 3540 Lynge"
"Nymøllevej 6A, 3540 Lynge"
"Lynge Møllevej 1, 3540 Lynge"
"Lystrupvej 3, 3540 Lynge"
"Vassingerødvej 127A, 3540 Lynge"
"Damhøjvej 4A, 3540 Lynge"
"Ganløsevej 6A, 3540 Lynge"
"Ganløsevej 6B, 3540 Lynge"
"Dalgårdsparken 2B, 3540 Lynge"
"Dalgårdsparken 2C, 3540 Lynge"
"Dalgårdsparken 2D, 3540 Lynge"
"Kokkedalen 2, 3540 Lynge"
"Højlundevej 12, Uvelse, 3540 Lynge"
"Birkekrogen 15, 3540 Lynge"
"Gladgårdsvænge 12, 3540 Lynge"
"Kirkebakkegårdsvej 18, 3540 Lynge"
"Ryttervænget 5, 3540 Lynge"
"Sandkildevej 4, 3540 Lynge"
"Solskrænten 24, 3540 Lynge"
"Uggeløse Bygade 138, 3540 Lynge"
"Vassingerødvej 97, 3540 Lynge"
"Lyngbakken 1, 3540 Lynge"
"Højlundevej 14, Uvelse, 3540 Lynge"
"Birkekrogen 16, 3540 Lynge"
"Bygmarken 1, 3540 Lynge"
"Gladgårdsvænge 13, 3540 Lynge"
"Kirkebakkegårdsvej 20, 3540 Lynge"
"Kokkedalen 7, 3540 Lynge"
"Ryttervænget 6, 3540 Lynge"
"Solskrænten 25, 3540 Lynge"
"Uggeløse Bygade 140, 3540 Lynge"
"Vassingerødvej 101, 3540 Lynge"
"Højlundevej 16, Uvelse, 3540 Lynge"
"Birkekrogen 17, 3540 Lynge"
"Bygmarken 2, 3540 Lynge"
"Gladgårdsvænge 14, 3540 Lynge"
"Kirkebakkegårdsvej 22, 3540 Lynge"
"Kokkedalen 9, 3540 Lynge"
"Lyngbakken 2, 3540 Lynge"
"Ryttervænget 7, 3540 Lynge"
"Solskrænten 26, 3540 Lynge"
"Vassingerødvej 107, 3540 Lynge"
"Birkekrogen 18, 3540 Lynge"
"Bygmarken 3, 3540 Lynge"
"Gladgårdsvænge 15, 3540 Lynge"
"Kirkebakkegårdsvej 24, 3540 Lynge"
"Lyngbakken 3, 3540 Lynge"
"Ryttervænget 8, 3540 Lynge"
"Solskrænten 27, 3540 Lynge"
"Uggeløse Bygade 144, 3540 Lynge"
"Lyngbakken 4, 3540 Lynge"
"Birkekrogen 19, 3540 Lynge"
