"Almindingensvej 27A, Østermarie, 3751 Østermarie"
"Lundsvej 11, Østermarie, 3751 Østermarie"
"Lundsvej 12, Østermarie, 3751 Østermarie"
"Plantagevej 65, Poulsker, 3751 Østermarie"
"Aspevej 6, Østermarie, 3751 Østermarie"
"Ølenevej 1, Østermarie, 3751 Østermarie"
"Ølenevej 2, Østermarie, 3751 Østermarie"
"Aspevej 11, Østermarie, 3751 Østermarie"
"Ølenevej 3, Østermarie, 3751 Østermarie"
"Ølenevej 4, Østermarie, 3751 Østermarie"
"Ølenevej 5, Østermarie, 3751 Østermarie"
"Savmøllevej 2, Østermarie, 3751 Østermarie"
"Ølenevej 6, Østermarie, 3751 Østermarie"
"Savmøllevej 3, Østermarie, 3751 Østermarie"
"Lyrsbyskov 3, Østermarie, 3751 Østermarie"
"Ølenevej 7, Østermarie, 3751 Østermarie"
"Lyrsbyskov 4, Østermarie, 3751 Østermarie"
"Lyrsbyskov 5, Østermarie, 3751 Østermarie"
"Lyrsbyskov 6, Østermarie, 3751 Østermarie"
"Lyrsbyskov 7, Østermarie, 3751 Østermarie"
"Lyrsbyvej 1, Østermarie, 3751 Østermarie"
"Lyrsbyvej 3, Østermarie, 3751 Østermarie"
"Lyrsbyvej 2, Østermarie, 3751 Østermarie"
"Lyrsbyvej 4, Østermarie, 3751 Østermarie"
"Lyrsbyvej 5, Østermarie, 3751 Østermarie"
"Ølenevej 8, Østermarie, 3751 Østermarie"
"Lyrsbyvej 10, Østermarie, 3751 Østermarie"
"Lyrsbyvej 12, Østermarie, 3751 Østermarie"
"Lyrsbyvej 13, Østermarie, 3751 Østermarie"
"Lyrsbyvej 14, Østermarie, 3751 Østermarie"
"Lyrsbyvej 15, Østermarie, 3751 Østermarie"
"Lyrsbyvej 16, Østermarie, 3751 Østermarie"
"Lyrsbyvej 17, Østermarie, 3751 Østermarie"
"Lyrsbyvej 18, Østermarie, 3751 Østermarie"
"Lyrsbyvej 19, Østermarie, 3751 Østermarie"
"Lyrsbyvej 20, Østermarie, 3751 Østermarie"
"Savmøllevej 5, Østermarie, 3751 Østermarie"
"Lyrsbyvej 22, Østermarie, 3751 Østermarie"
"Lyrsbyvej 23, Østermarie, 3751 Østermarie"
"Lyrsbyvej 24, Østermarie, 3751 Østermarie"
"Ølenevej 9, Østermarie, 3751 Østermarie"
"Lyrsbyvej 25, Østermarie, 3751 Østermarie"
"Lyrsbyvej 26, Østermarie, 3751 Østermarie"
"Lyrsbyvej 26, st., Østermarie, 3751 Østermarie"
"Lyrsbyvej 27, Østermarie, 3751 Østermarie"
"Lyrsbyvej 29, Østermarie, 3751 Østermarie"
"Lyrsbyvej 30A, Østermarie, 3751 Østermarie"
"Lyrsbyvej 30B, Østermarie, 3751 Østermarie"
"Lyrsbyvej 31, Østermarie, 3751 Østermarie"
"Lyrsbyvej 32, Østermarie, 3751 Østermarie"
"Lyrsbyvej 35, Østermarie, 3751 Østermarie"
"Lyrsbyvej 36, Østermarie, 3751 Østermarie"
"Lyrsbyvej 37, Østermarie, 3751 Østermarie"
"Lyrsbyvej 39, Østermarie, 3751 Østermarie"
"Lyrsbyvej 43, Østermarie, 3751 Østermarie"
"Ølenevej 10, Østermarie, 3751 Østermarie"
"Ølenevej 11, Østermarie, 3751 Østermarie"
"Savmøllevej 8, Østermarie, 3751 Østermarie"
