"Ringstedvej 137A, 4173 Fjenneslev"
"Ørslevvestervej 69, Ørslevvester, 4173 Fjenneslev"
"Dagmarsvej 12, 4173 Fjenneslev"
"Dagmarsvej 18, 4173 Fjenneslev"
"Fjenneslevmaglevej 3, 4173 Fjenneslev"
"Alstedvej 47, 4173 Fjenneslev"
"Dagmarsvej 2, 4173 Fjenneslev"
"Dagmarsvej 6, 4173 Fjenneslev"
"Alstedvej 66D, 4173 Fjenneslev"
"Dagmarsvej 4, 4173 Fjenneslev"
"Dagmarsvej 8, 4173 Fjenneslev"
"Dagmarsvej 14, 4173 Fjenneslev"
"Dagmarsvej 16, 4173 Fjenneslev"
"Havebo 5A, 4173 Fjenneslev"
"Havebo 5B, 4173 Fjenneslev"
"Havebo 5C, 4173 Fjenneslev"
"Mosekærsvej 1, 4173 Fjenneslev"
"Alsted Vænge 1, 4173 Fjenneslev"
"Alsted Vænge 2, 4173 Fjenneslev"
"Alsted Vænge 3, 4173 Fjenneslev"
"Alsted Vænge 4, 4173 Fjenneslev"
"Alsted Vænge 6, 4173 Fjenneslev"
"Alsted Vænge 8, 4173 Fjenneslev"
"Dagmarsvej 10, 4173 Fjenneslev"
"Dagmarsvej 1, 4173 Fjenneslev"
"Dagmarsvej 3, 4173 Fjenneslev"
"Dagmarsvej 5, 4173 Fjenneslev"
"Dagmarsvej 7, 4173 Fjenneslev"
"Dagmarsvej 9, 4173 Fjenneslev"
"Dagmarsvej 11, 4173 Fjenneslev"
"Dagmarsvej 13, 4173 Fjenneslev"
"Dagmarsvej 15, 4173 Fjenneslev"
"Dagmarsvej 17, 4173 Fjenneslev"
"Dagmarsvej 19, 4173 Fjenneslev"
"Dagmarsvej 21, 4173 Fjenneslev"
"Dagmarsvej 23, 4173 Fjenneslev"
"Dagmarsvej 25, 4173 Fjenneslev"
"Dagmarsvej 27, 4173 Fjenneslev"
"Dagmarsvej 29, 4173 Fjenneslev"
"Dagmarsvej 31, 4173 Fjenneslev"
"Dagmarsvej 33, 4173 Fjenneslev"
"Dagmarsvej 35, 4173 Fjenneslev"
"Dagmarsvej 37, 4173 Fjenneslev"
"Gyrstinge Skovhuse 22, Gyrstinge, 4173 Fjenneslev"
"Fjenneslevmaglevej 13, 4173 Fjenneslev"
"Havrevænget 17, 4173 Fjenneslev"
