"Løve Gl Landevej 6B, st., Løve, 4270 Høng"
"Tranevej 7A, 4270 Høng"
"Tranevej 7B, 4270 Høng"
"Tranevej 7, 4270 Høng"
"Rosenvænget 9, 4270 Høng"
"Karinavej 20, 4270 Høng"
"Karinavej 14, 4270 Høng"
"Høng Landevej 14, 4270 Høng"
"Løvegårdsvej 2C, Løve, 4270 Høng"
"Løvegårdsvej 2B, Løve, 4270 Høng"
"Borrevænget 19, 4270 Høng"
"Borreparken 1, 4270 Høng"
"Borreparken 2, 4270 Høng"
"Borreparken 3, 4270 Høng"
"Borreparken 4, 4270 Høng"
"Borreparken 5, 4270 Høng"
"Borreparken 6, 4270 Høng"
"Borreparken 7, 4270 Høng"
"Borreparken 8, 4270 Høng"
"Borreparken 9, 4270 Høng"
"Borreparken 10, 4270 Høng"
"Borreparken 11, 4270 Høng"
"Borreparken 12, 4270 Høng"
"Borreparken 13, 4270 Høng"
"Borreparken 14, 4270 Høng"
"Borreparken 15, 4270 Høng"
"Borreparken 16, 4270 Høng"
"Borreparken 17, 4270 Høng"
"Borreparken 18, 4270 Høng"
"Borrevænget 2, 4270 Høng"
"Kappelbjerg 2, Løve, 4270 Høng"
"Skovvej 1, 4270 Høng"
"Askelunden 6, 4270 Høng"
"Askelunden 10, 4270 Høng"
"Askelunden 15, 4270 Høng"
"Askelunden 19, 4270 Høng"
"Kirsebærhaven 9, 4270 Høng"
"Kirsebærhaven 11, 4270 Høng"
"Kirsebærhaven 13, 4270 Høng"
"Kirsebærhaven 15, 4270 Høng"
"Blommehaven 7, 4270 Høng"
"Askelunden 21, 4270 Høng"
"Askelunden 41, 4270 Høng"
"Bøstrupvej 4C, Løve, 4270 Høng"
"Hassellunden 1, 4270 Høng"
"Hassellunden 2, 4270 Høng"
"Hassellunden 3, 4270 Høng"
"Hassellunden 4, 4270 Høng"
"Hassellunden 5, 4270 Høng"
"Hassellunden 6, 4270 Høng"
"Hassellunden 7, 4270 Høng"
"Hassellunden 8, 4270 Høng"
"Hassellunden 9, 4270 Høng"
"Hassellunden 10, 4270 Høng"
"Hassellunden 11, 4270 Høng"
"Hassellunden 12, 4270 Høng"
"Hassellunden 13, 4270 Høng"
"Hassellunden 14, 4270 Høng"
"Hassellunden 15, 4270 Høng"
"Hassellunden 16, 4270 Høng"
