"Stationsvej 3A, 4470 Svebølle"
"Rosenhaven 37A, 4470 Svebølle"
"Centret 100, 4470 Svebølle"
"Højvangen 8, 4470 Svebølle"
"Højvangen 8B, 4470 Svebølle"
"Højvangen 8C, 4470 Svebølle"
"Højvangen 8A, 4470 Svebølle"
"Højvangen 8D, 4470 Svebølle"
"Højvangen 8G, 4470 Svebølle"
"Højvangen 8F, 4470 Svebølle"
"Højvangen 8E, 4470 Svebølle"
"Højvangen 8H, 4470 Svebølle"
"Højvangen 8A, st., 4470 Svebølle"
"Lavendelvej 43, 4470 Svebølle"
"Nordvestvej 3, 4470 Svebølle"
"Lavendelvej 25, 4470 Svebølle"
"Azaleavej 5, 4470 Svebølle"
"Azaleavej 7, 4470 Svebølle"
"Jernbanevej 18B, 4470 Svebølle"
"Jernbanevej 18C, 4470 Svebølle"
"Jernbanevej 18D, 4470 Svebølle"
"Lavendelvej 41, 4470 Svebølle"
"Lavendelvej 59, 4470 Svebølle"
"Frederiksberg 23B, 4470 Svebølle"
"Azaleavej 1, 4470 Svebølle"
"Azaleavej 28, 4470 Svebølle"
"Azaleavej 8, 4470 Svebølle"
"Kirsebærvej 5, Viskinge, 4470 Svebølle"
"Azaleavej 3, 4470 Svebølle"
"Lavendelvej 57, 4470 Svebølle"
"Azaleavej 15, 4470 Svebølle"
"Lavendelvej 67, 4470 Svebølle"
"Lavendelvej 69, 4470 Svebølle"
"Avnsøgårds Alle 9, 4470 Svebølle"
"Gammelrand 3B, 4470 Svebølle"
"Lavendelvej 49, 4470 Svebølle"
"Azaleavej 14, 4470 Svebølle"
"Jorløse Byvej 48, 4470 Svebølle"
"Centret 3, 4470 Svebølle"
"Gl Skovvej 12, 4470 Svebølle"
"Jernbanevej 11B, 2., 4470 Svebølle"
"Kalundborgvej 83, 4470 Svebølle"
"Kirsebærstien 3, 4470 Svebølle"
"Lavendelvej 9, 4470 Svebølle"
"Lupinvej 4, 4470 Svebølle"
"Platanhaven 37, 4470 Svebølle"
"Skolevænget 33, 4470 Svebølle"
"Jorløse Byvej 49, 4470 Svebølle"
"Saltoftevænge 1, 4470 Svebølle"
"Centret 4, 4470 Svebølle"
"Gl Skovvej 13, 4470 Svebølle"
