"Marksvinget 1, Svinninge, 4572 Nørre Asmindrup"
"Kirkevej 27, Svinninge, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 102A, Svinninge, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 102B, Svinninge, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 77B, Svinninge, 4572 Nørre Asmindrup"
"Svinningevej 2, Svinninge, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 76, Svinninge, 4572 Nørre Asmindrup"
"Kollekollevej 3, Kollekolle, 4572 Nørre Asmindrup"
"Kollekollevej 5, Kollekolle, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 78, Svinninge, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 78A, Svinninge, 4572 Nørre Asmindrup"
"Hesselvej 1, Skaverup, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 79, Svinninge, 4572 Nørre Asmindrup"
"Kollekollevej 8, Kollekolle, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 80, Svinninge, 4572 Nørre Asmindrup"
"Hesselvej 2A, Skaverup, 4572 Nørre Asmindrup"
"Kollekollevej 9, Kollekolle, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 81, Svinninge, 4572 Nørre Asmindrup"
"Hesselvej 2B, Skaverup, 4572 Nørre Asmindrup"
"Kollekollevej 10, Kollekolle, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 82A, Svinninge, 4572 Nørre Asmindrup"
"Hesselvej 3, Brændt, 4572 Nørre Asmindrup"
"Kollekollevej 11, Sv Hestehave, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 82B, Svinninge, 4572 Nørre Asmindrup"
"Hesselvej 4, Skaverup, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 83, Svinninge, 4572 Nørre Asmindrup"
"Hesselvej 5, Brændt, 4572 Nørre Asmindrup"
"Kollekollevej 13, Sv Hestehave, 4572 Nørre Asmindrup"
"Stenvangsvej 1, Kollekolle, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 84, Svinninge, 4572 Nørre Asmindrup"
"Hesselvej 6, Skaverup, 4572 Nørre Asmindrup"
"Kollekollevej 14, Sv Hestehave, 4572 Nørre Asmindrup"
"Stenvangsvej 2, Kollekolle, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 85, Svinninge, 4572 Nørre Asmindrup"
"Granbakken 1, Svinninge, 4572 Nørre Asmindrup"
"Hesselvej 7, Skaverup, 4572 Nørre Asmindrup"
"Kollekollevej 15, Sv Hestehave, 4572 Nørre Asmindrup"
"Stenvangsvej 3, Svinninge, 4572 Nørre Asmindrup"
"Gl Nykøbingvej 86, st., Svinninge, 4572 Nørre Asmindrup"
