"Telmanyisvej 5, st., Yderby Lyng, 4583 Sjællands Odde"
"Strandagervej 3A, Yderby Lyng, 4583 Sjællands Odde"
"Strandagervej 3B, Yderby Lyng, 4583 Sjællands Odde"
"Buskrosevej 12, Yderby Lyng, 4583 Sjællands Odde"
"Plantagevej 40, Yderby Lyng, 4583 Sjællands Odde"
"Strandlystgårdsvej 86, Yderby Lyng, 4583 Sjællands Odde"
"Toldstedet 11, 4583 Sjællands Odde"
"Hedevang 12, Overby Lyng, 4583 Sjællands Odde"
"Skovduevej 25, Overby Lyng, 4583 Sjællands Odde"
"Brombærvang 1, Overby Lyng, 4583 Sjællands Odde"
"Plantagevej 4, Yderby Lyng, 4583 Sjællands Odde"
"Lyngbugten 6, Yderby Lyng, 4583 Sjællands Odde"
"Lyngrosevej 2, Yderby Lyng, 4583 Sjællands Odde"
"Løvevej 2A, Overby Lyng, 4583 Sjællands Odde"
"Vestre Skovlyvej 55A, Overby Lyng, 4583 Sjællands Odde"
"Vestre Skovlyvej 55B, Overby Lyng, 4583 Sjællands Odde"
"Ørnevej 5, Yderby Lyng, 4583 Sjællands Odde"
"Mosrosevej 11, Yderby Lyng, 4583 Sjællands Odde"
"Oddenvej 239B, Havnebyen, 4583 Sjællands Odde"
"Pilehavevej 47, Yderby Lyng, 4583 Sjællands Odde"
"Bakkelyvej 58, Overby Lyng, 4583 Sjællands Odde"
"Majrosevej 5, Yderby Lyng, 4583 Sjællands Odde"
"Hedebovej 1B, Overby Lyng, 4583 Sjællands Odde"
"Tejnvej 23, Overby Lyng, 4583 Sjællands Odde"
"Stenager 1A, Overby Lyng, 4583 Sjællands Odde"
"Hegnsvej 3, Overby Lyng, 4583 Sjællands Odde"
"Oddenvej 139A, Overby Lyng, 4583 Sjællands Odde"
"Strandkrogen 4, Yderby Lyng, 4583 Sjællands Odde"
"Ildkulevej 6B, Yderby Lyng, 4583 Sjællands Odde"
"Kiselvej 12, Yderby Lyng, 4583 Sjællands Odde"
"Klitrosevej 21, Yderby Lyng, 4583 Sjællands Odde"
"Klitrosevej 29, Yderby Lyng, 4583 Sjællands Odde"
"Tejnvej 7, Overby Lyng, 4583 Sjællands Odde"
"Linneavej 7, Overby Lyng, 4583 Sjællands Odde"
"Bakkelyvej 3B, Overby Lyng, 4583 Sjællands Odde"
"Fregatvej 4, st., 4583 Sjællands Odde"
"Fregatvej 4, 4583 Sjællands Odde"
"Moseengen 10, Havnebyen, 4583 Sjællands Odde"
