"Brogade 7E, st., 4600 Køge"
"Nyportstræde 33, 4600 Køge"
"Marens Minde Vej 43, Strøby Egede, 4600 Køge"
"Marens Minde Vej 11, Strøby Egede, 4600 Køge"
"Marens Minde Vej 42, Strøby Egede, 4600 Køge"
"Ølsemagle Kirkevej 55A, 4600 Køge"
"Lindevej 4B, Strøby Egede, 4600 Køge"
"Lindevej 4A, Strøby Egede, 4600 Køge"
"Lindevej 4A, st., Strøby Egede, 4600 Køge"
"Vestergade 13, st. th, 4600 Køge"
"Vestergade 13, st. tv, 4600 Køge"
"Søndre Molevej 14A, 6. 18, 4600 Køge"
"Brinken 76, Strøby Egede, 4600 Køge"
"Vangevej 6B, Strøby Egede, 4600 Køge"
"Karensvej 8, Vallø, 4600 Køge"
"Troldpilevej 2, Strøby Egede, 4600 Køge"
"Kystvejen 38B, Strøby Egede, 4600 Køge"
"Kystvejen 46A, Strøby Egede, 4600 Køge"
"Kystvejen 34, Strøby Egede, 4600 Køge"
"Stevnsvej 72, Strøby Egede, 4600 Køge"
"Brinkholmvej 3, Strøby Egede, 4600 Køge"
"Skrænten 33, Strøby Egede, 4600 Køge"
"Skrænten 35, Strøby Egede, 4600 Køge"
"Torvebyen 8, 1. 1, 4600 Køge"
"Torvebyen 8, 1. 3, 4600 Køge"
"Torvebyen 8, 1. 2, 4600 Køge"
"Torvebyen 8, 1. 4, 4600 Køge"
"Torvebyen 2, 4600 Køge"
"Torvebyen 2, 1., 4600 Køge"
"Torvebyen 2, 1. 1, 4600 Køge"
"Torvebyen 2, 1. 2, 4600 Køge"
"Torvebyen 2, 1. 3, 4600 Køge"
"Torvebyen 2, 1. 4, 4600 Køge"
"Torvebyen 2, 2. 1, 4600 Køge"
"Torvebyen 2, 2. 2, 4600 Køge"
"Torvebyen 2, 2. 3, 4600 Køge"
"Torvebyen 2, 2. 4, 4600 Køge"
"Torvebyen 2, 2. 5, 4600 Køge"
"Torvebyen 2, 2. 6, 4600 Køge"
"Nørre Boulevard 120, st. th, 4600 Køge"
"Søndre Havnevej 8B, 1. th, 4600 Køge"
"Søndre Havnevej 8B, 2. th, 4600 Køge"
"Søndre Havnevej 8B, 3. th, 4600 Køge"
"Søndre Havnevej 8B, 4. th, 4600 Køge"
"Søndre Havnevej 8B, 5., 4600 Køge"
"Søndre Havnevej 8B, 1. tv, 4600 Køge"
"Søndre Havnevej 8B, 2. tv, 4600 Køge"
"Søndre Havnevej 8B, 3. tv, 4600 Køge"
"Søndre Havnevej 8B, 4. tv, 4600 Køge"
"Søndre Havnevej 8B, 6., 4600 Køge"
"Søndre Havnevej 8F, st. tv, 4600 Køge"
"Søndre Havnevej 8F, 1. tv, 4600 Køge"
