"Vordingborgvej 160, 4681 Herfølge"
"Vordingborgvej 162, st., 4681 Herfølge"
"Vordingborgvej 162, 4681 Herfølge"
"Vordingborgvej 162, 1., 4681 Herfølge"
"Vordingborgvej 166, 4681 Herfølge"
"Vordingborgvej 164, 4681 Herfølge"
"Vordingborgvej 172, 4681 Herfølge"
"Vordingborgvej 168, 4681 Herfølge"
"Vordingborgvej 111, 4681 Herfølge"
"Vordingborgvej 152, 4681 Herfølge"
"Vordingborgvej 154, 4681 Herfølge"
"Vordingborgvej 156, 4681 Herfølge"
"Vordingborgvej 133, 4681 Herfølge"
"Vordingborgvej 135, 4681 Herfølge"
"Vordingborgvej 137, 4681 Herfølge"
"Skovly 2, 4681 Herfølge"
"Skovly 4, 4681 Herfølge"
"Skovly 6, 4681 Herfølge"
"Skovly 5, 4681 Herfølge"
"Skovly 7, 4681 Herfølge"
"Skovly 8, 4681 Herfølge"
"Skovly 11, 4681 Herfølge"
"Skovly 10, 4681 Herfølge"
"Skovly 12, 4681 Herfølge"
"Skovly 9, 4681 Herfølge"
"Vordingborgvej 176, 4681 Herfølge"
"Vordingborgvej 174A, 4681 Herfølge"
"Vordingborgvej 178, 4681 Herfølge"
"Præstebanken 2, 4681 Herfølge"
"Vordingborgvej 92, 4681 Herfølge"
"Stationsvej 1C, 4681 Herfølge"
"Svanelunden 61, 4681 Herfølge"
"Margrethehaven 2, 4681 Herfølge"
"Møllemarksvej 8, 4681 Herfølge"
"Møllemarksvej 20, 4681 Herfølge"
"Svanemarken 36, 4681 Herfølge"
"Billesborgvej 42A, 4681 Herfølge"
"Louisehaven 2, 4681 Herfølge"
"Louisehaven 8, 4681 Herfølge"
"Louisehaven 13, 4681 Herfølge"
"Margrethehaven 7, 4681 Herfølge"
"Margrethehaven 9, 4681 Herfølge"
"Møllemarksvej 4, 4681 Herfølge"
"Møllemarksvej 6, 4681 Herfølge"
"Møllemarksvej 12, 4681 Herfølge"
"Møllemarksvej 18, 4681 Herfølge"
"Møllemarksvej 22, 4681 Herfølge"
"Møllemarksvej 24, 4681 Herfølge"
"Møllemarksvej 30, 4681 Herfølge"
"Møllemarksvej 36, 4681 Herfølge"
"Møllemarksvej 42, 4681 Herfølge"
"Svanelunden 57, 4681 Herfølge"
"Ølandsvej 4, 4681 Herfølge"
"Svanelunden 63, 4681 Herfølge"
"Louisehaven 12, 4681 Herfølge"
"Margrethehaven 5, 4681 Herfølge"
"Birkevej 10, 4681 Herfølge"
"Louisehaven 5, 4681 Herfølge"
"Margrethehaven 4, 4681 Herfølge"
"Svanelunden 53, 4681 Herfølge"
"Vordingborgvej 90, th, 4681 Herfølge"
"Vordingborgvej 90, tv, 4681 Herfølge"
"Svanemarken 12, 4681 Herfølge"
"Tinggårdsvej 1, 4681 Herfølge"
"Tinggårdsvej 3, 4681 Herfølge"
"Tinggårdsvej 5, 4681 Herfølge"
"Tinggårdsvej 7, 4681 Herfølge"
"Tinggårdsvej 9, 4681 Herfølge"
"Tinggårdsvej 11, 4681 Herfølge"
"Tinggårdsvej 13, 4681 Herfølge"
"Tinggårdsvej 15, 4681 Herfølge"
"Tinggårdsvej 17, 4681 Herfølge"
"Tinggårdsvej 19, 4681 Herfølge"
"Tinggårdsvej 21, 4681 Herfølge"
"Tinggårdsvej 23, 4681 Herfølge"
"Tinggårdsvej 25, 4681 Herfølge"
"Tinggårdsvej 27, 4681 Herfølge"
"Tinggårdsvej 29, 4681 Herfølge"
"Tinggårdsvej 31, 4681 Herfølge"
"Tinggårdsvej 33, 4681 Herfølge"
"Tinggårdsvej 35, 4681 Herfølge"
"Tinggårdsvej 37, 4681 Herfølge"
"Tinggårdsvej 39, 4681 Herfølge"
"Tinggårdsvej 41, 4681 Herfølge"
