"Dystedvej 12A, 4684 Holmegaard"
"Landevejen 42, 4684 Holmegaard"
"Blåbærsvinget 1, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 25, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 12, Fensmark, 4684 Holmegaard"
"Engvej 23, Fensmark, 4684 Holmegaard"
"Ahornvej 3, 1. 40, Fensmark, 4684 Holmegaard"
"Ahornvej 3, 1. 39, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 42, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 41, Fensmark, 4684 Holmegaard"
"Engvej 9, Fensmark, 4684 Holmegaard"
"Engvej 11, Fensmark, 4684 Holmegaard"
"Engvej 13, Fensmark, 4684 Holmegaard"
"Engvej 15, Fensmark, 4684 Holmegaard"
"Engvej 17, Fensmark, 4684 Holmegaard"
"Engvej 19, Fensmark, 4684 Holmegaard"
"Engvej 21, Fensmark, 4684 Holmegaard"
"Engvej 25, Fensmark, 4684 Holmegaard"
"Engvej 27, Fensmark, 4684 Holmegaard"
"Engvej 29, Fensmark, 4684 Holmegaard"
"Engvej 31, Fensmark, 4684 Holmegaard"
"Engvej 33, Fensmark, 4684 Holmegaard"
"Engvej 35, Fensmark, 4684 Holmegaard"
"Engvej 37, Fensmark, 4684 Holmegaard"
"Engvej 39, Fensmark, 4684 Holmegaard"
"Engvej 41, Fensmark, 4684 Holmegaard"
"Engvej 43, Fensmark, 4684 Holmegaard"
"Engvej 45, Fensmark, 4684 Holmegaard"
"Engvej 47, Fensmark, 4684 Holmegaard"
"Engvej 49, Fensmark, 4684 Holmegaard"
"Engvej 51, Fensmark, 4684 Holmegaard"
"Engvej 53, Fensmark, 4684 Holmegaard"
"Engvej 55, Fensmark, 4684 Holmegaard"
"Engvej 57, Fensmark, 4684 Holmegaard"
"Engvej 59, Fensmark, 4684 Holmegaard"
"Glasmagervej 38B, Fensmark, 4684 Holmegaard"
"Glasmagervej 38C, Fensmark, 4684 Holmegaard"
"Platanvej 85C, 1. th, 4684 Holmegaard"
"Platanvej 85C, 1. tv, 4684 Holmegaard"
"Platanvej 85D, 1. th, 4684 Holmegaard"
"Platanvej 85D, 1. tv, 4684 Holmegaard"
"Platanvej 85E, st. th, 4684 Holmegaard"
"Platanvej 85E, st. tv, 4684 Holmegaard"
"Platanvej 85F, st. th, 4684 Holmegaard"
"Platanvej 85F, st. tv, 4684 Holmegaard"
"Stenskovvej 48A, Fensmark, 4684 Holmegaard"
"Kalkerupvej 33A, Fensmark, 4684 Holmegaard"
"Flintevej 1E, Fensmark, 4684 Holmegaard"
"Glasmagervej 33, Fensmark, 4684 Holmegaard"
"Glasmagervej 35, Fensmark, 4684 Holmegaard"
"Hulebækken 1, Toksværd, 4684 Holmegaard"
"Sibberupvej 9A, Fensmark, 4684 Holmegaard"
"Thyrasvej 44, Toksværd, 4684 Holmegaard"
"Thyrasvej 48A, Toksværd, 4684 Holmegaard"
"Thyrasvej 48B, Toksværd, 4684 Holmegaard"
"Thyrasvej 50, Toksværd, 4684 Holmegaard"
"Thyrasvej 52, Toksværd, 4684 Holmegaard"
"Thyrasvej 60, Toksværd, 4684 Holmegaard"
"Thyrasvej 62, Toksværd, 4684 Holmegaard"
"Thyrasvej 64, Toksværd, 4684 Holmegaard"
"Thyrasvej 66, Toksværd, 4684 Holmegaard"
"Troldehøjvej 1, Fensmark, 4684 Holmegaard"
"Trollesgave 5, Fensmark, 4684 Holmegaard"
"Sibberupvej 13, Fensmark, 4684 Holmegaard"
"Stationsvej 55, Holme-Olstrup, 4684 Holmegaard"
"Løgparken 48, Holme-Olstrup, 4684 Holmegaard"
"Dragehøjvej 5A, Fensmark, 4684 Holmegaard"
"Dragehøjvej 5B, Fensmark, 4684 Holmegaard"
"Egevej 7, Fensmark, 4684 Holmegaard"
"Gormsvej 20, Toksværd, 4684 Holmegaard"
"Hindbærsvinget 2, Fensmark, 4684 Holmegaard"
"Thyrasvej 49, Toksværd, 4684 Holmegaard"
"Thyrasvej 70, Toksværd, 4684 Holmegaard"
"Blåbærsvinget 13, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 21, Fensmark, 4684 Holmegaard"
"Hindbærsvinget 10, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 4, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 7, Fensmark, 4684 Holmegaard"
"Kastanjebakken 1, Fensmark, 4684 Holmegaard"
"Kastanjebakken 2, Fensmark, 4684 Holmegaard"
"Kastanjebakken 3, Fensmark, 4684 Holmegaard"
"Kastanjebakken 4, Fensmark, 4684 Holmegaard"
"Kastanjebakken 5, Fensmark, 4684 Holmegaard"
"Kastanjebakken 6, Fensmark, 4684 Holmegaard"
"Kastanjebakken 7, Fensmark, 4684 Holmegaard"
"Kastanjebakken 8, Fensmark, 4684 Holmegaard"
"Kastanjebakken 9, Fensmark, 4684 Holmegaard"
"Kastanjebakken 10, Fensmark, 4684 Holmegaard"
"Kastanjebakken 11, Fensmark, 4684 Holmegaard"
"Kastanjebakken 12, Fensmark, 4684 Holmegaard"
"Kastanjebakken 13, Fensmark, 4684 Holmegaard"
"Kastanjebakken 14, Fensmark, 4684 Holmegaard"
"Kastanjebakken 15, Fensmark, 4684 Holmegaard"
"Kastanjebakken 16, Fensmark, 4684 Holmegaard"
"Kastanjebakken 17, Fensmark, 4684 Holmegaard"
"Kastanjebakken 18, Fensmark, 4684 Holmegaard"
"Kastanjebakken 19, Fensmark, 4684 Holmegaard"
"Løgparken 56, Holme-Olstrup, 4684 Holmegaard"
"Dystedvej 46C, 4684 Holmegaard"
"Gormsvej 2, Toksværd, 4684 Holmegaard"
"Gormsvej 8, Toksværd, 4684 Holmegaard"
"Gormsvej 14, Toksværd, 4684 Holmegaard"
"Holmegaardsvej 71, Holme-Olstrup, 4684 Holmegaard"
"Stenskovvej 46D, Fensmark, 4684 Holmegaard"
"Trollesgave 3A, Fensmark, 4684 Holmegaard"
"Trollesgave 3B, Fensmark, 4684 Holmegaard"
"Trollesgave 3C, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 6, Fensmark, 4684 Holmegaard"
"Sølunden 3, Fensmark, 4684 Holmegaard"
"Sølunden 5, Fensmark, 4684 Holmegaard"
"Sølunden 7, Fensmark, 4684 Holmegaard"
"Sølunden 9, Fensmark, 4684 Holmegaard"
"Sølunden 11, Fensmark, 4684 Holmegaard"
"Sølunden 13, Fensmark, 4684 Holmegaard"
"Sølunden 15, Fensmark, 4684 Holmegaard"
"Sølunden 17, Fensmark, 4684 Holmegaard"
"Sølunden 19, Fensmark, 4684 Holmegaard"
"Sølunden 21, Fensmark, 4684 Holmegaard"
"Sølunden 23, Fensmark, 4684 Holmegaard"
"Sølunden 25, Fensmark, 4684 Holmegaard"
"Sølunden 27, Fensmark, 4684 Holmegaard"
"Sølunden 29, Fensmark, 4684 Holmegaard"
"Sølunden 31, Fensmark, 4684 Holmegaard"
"Sølunden 33, Fensmark, 4684 Holmegaard"
"Sølunden 35, Fensmark, 4684 Holmegaard"
"Sølunden 37, Fensmark, 4684 Holmegaard"
"Sølunden 39, Fensmark, 4684 Holmegaard"
"Sølunden 41, Fensmark, 4684 Holmegaard"
"Sølunden 43, Fensmark, 4684 Holmegaard"
"Sølunden 45, Fensmark, 4684 Holmegaard"
"Sølunden 47, Fensmark, 4684 Holmegaard"
"Sølunden 49, Fensmark, 4684 Holmegaard"
"Sølunden 51, Fensmark, 4684 Holmegaard"
"Sølunden 53, Fensmark, 4684 Holmegaard"
"Sølunden 55, Fensmark, 4684 Holmegaard"
"Sølunden 57, Fensmark, 4684 Holmegaard"
"Sølunden 59, Fensmark, 4684 Holmegaard"
"Sølunden 61, Fensmark, 4684 Holmegaard"
"Sølunden 63, Fensmark, 4684 Holmegaard"
"Sølunden 65, Fensmark, 4684 Holmegaard"
"Sølunden 67, Fensmark, 4684 Holmegaard"
"Sølunden 69, Fensmark, 4684 Holmegaard"
"Sølunden 71, Fensmark, 4684 Holmegaard"
"Sølunden 73, Fensmark, 4684 Holmegaard"
"Dystedvej 45C, 4684 Holmegaard"
"Fensmark Skov 2, Fensmark, 4684 Holmegaard"
"Trollesgave 6, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 10, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 17, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 21, Fensmark, 4684 Holmegaard"
"Løgparken 14, Holme-Olstrup, 4684 Holmegaard"
"Gormsvej 18, Toksværd, 4684 Holmegaard"
"Gormsvej 24, Toksværd, 4684 Holmegaard"
"Thyrasvej 37A, Toksværd, 4684 Holmegaard"
"Thyrasvej 37B, Toksværd, 4684 Holmegaard"
"Troldehøjvej 26, Fensmark, 4684 Holmegaard"
"Løgparken 44, Holme-Olstrup, 4684 Holmegaard"
"Løgparken 46, Holme-Olstrup, 4684 Holmegaard"
"Løgparken 133, Holme-Olstrup, 4684 Holmegaard"
"Løgparken 135, Holme-Olstrup, 4684 Holmegaard"
"Løgparken 137, Holme-Olstrup, 4684 Holmegaard"
"Glasmagervej 36A, Fensmark, 4684 Holmegaard"
"Thyrasvej 15, Toksværd, 4684 Holmegaard"
"Blåbærsvinget 9, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 8, Fensmark, 4684 Holmegaard"
"Røjlevej 100, Fensmark, 4684 Holmegaard"
"Thyrasvej 3A, Toksværd, 4684 Holmegaard"
"Thyrasvej 3B, Toksværd, 4684 Holmegaard"
"Jordbærsvinget 3, Fensmark, 4684 Holmegaard"
"Rapsmarken 1, Fensmark, 4684 Holmegaard"
"Rapsmarken 2, Fensmark, 4684 Holmegaard"
