"Langebæk Stationsvej 3, 4772 Langebæk"
"Petersgaard Alle 3, 4772 Langebæk"
"Langebæk Stationsvej 4, 4772 Langebæk"
"Petersgaard Alle 4, 4772 Langebæk"
"Langebæk Stationsvej 5, 4772 Langebæk"
"Petersgaard Alle 5, 4772 Langebæk"
"Langebæk Stationsvej 6, 4772 Langebæk"
"Petersgaard Alle 6A, 4772 Langebæk"
"Langebæk Stationsvej 7, 4772 Langebæk"
"Petersgaard Alle 6B, 4772 Langebæk"
"Langebæk Stationsvej 8, 4772 Langebæk"
"Petersgaard Alle 7, 4772 Langebæk"
"Petersværft 1, 4772 Langebæk"
"Langebæk Stationsvej 10, st., 4772 Langebæk"
"Petersværft 2, 4772 Langebæk"
"Langebæk Stationsvej 10, 1., 4772 Langebæk"
"Petersværft 3, 4772 Langebæk"
"Langebæk Stationsvej 11, 4772 Langebæk"
"Petersværft 4, 4772 Langebæk"
"Gl Vordingborgvej 1, 4772 Langebæk"
"Langebæk Stationsvej 12, 4772 Langebæk"
"Petersværft 5A, 4772 Langebæk"
"Gl Vordingborgvej 2, 4772 Langebæk"
"Langebæk Stationsvej 13, 4772 Langebæk"
"Petersværft 5B, 4772 Langebæk"
"Gl Vordingborgvej 4, 4772 Langebæk"
"Langebæk Stationsvej 14, 4772 Langebæk"
"Petersværftvej 1, 4772 Langebæk"
"Gl Vordingborgvej 5, 4772 Langebæk"
"Langebæk Stationsvej 15, 4772 Langebæk"
"Petersværftvej 2, 4772 Langebæk"
"Gl Vordingborgvej 6, 4772 Langebæk"
"Langebæk Stationsvej 16, 4772 Langebæk"
"Petersværftvej 3, 4772 Langebæk"
"Gl Vordingborgvej 7, 4772 Langebæk"
"Langebæk Stationsvej 19, 4772 Langebæk"
"Petersværftvej 4, 4772 Langebæk"
"Gl Vordingborgvej 9, 4772 Langebæk"
"Langebæk Stationsvej 21, 4772 Langebæk"
"Petersværftvej 5, 4772 Langebæk"
"Gl Vordingborgvej 12, 4772 Langebæk"
"Langebæk Stationsvej 22, 4772 Langebæk"
"Petersværftvej 8, 4772 Langebæk"
"Gl Vordingborgvej 13, 4772 Langebæk"
"Langebæk Gade 1, 4772 Langebæk"
"Petersværftvej 9, 4772 Langebæk"
"Gl Vordingborgvej 14, 4772 Langebæk"
"Langebæk Gade 2, 4772 Langebæk"
"Petersværftvej 11, 4772 Langebæk"
"Gl Vordingborgvej 15, 4772 Langebæk"
"Langebæk Gade 3, 4772 Langebæk"
"Petersværftvej 13, 4772 Langebæk"
"Gl Vordingborgvej 16, 4772 Langebæk"
"Langebæk Gade 4, 4772 Langebæk"
"Petersværftvej 15, 4772 Langebæk"
"Gl Vordingborgvej 17, 4772 Langebæk"
"Gl Vordingborgvej 18A, 4772 Langebæk"
"Gl Vordingborgvej 18B, 4772 Langebæk"
"Langebæk Gade 7, 4772 Langebæk"
"Gl Vordingborgvej 19A, 4772 Langebæk"
"Hovvejen 14, 4772 Langebæk"
"Langebæk Gade 8, 4772 Langebæk"
"Gl Vordingborgvej 20, 4772 Langebæk"
"Hovvejen 16A, 4772 Langebæk"
"Langebæk Gade 11, 4772 Langebæk"
"Gl Vordingborgvej 22, 4772 Langebæk"
"Langebæk Gade 12, 4772 Langebæk"
"Gl Vordingborgvej 23, 4772 Langebæk"
"Langebæk Gade 13, 4772 Langebæk"
"Gl Vordingborgvej 24, 4772 Langebæk"
"Hovvejen 17, 4772 Langebæk"
"Langebæk Gade 14, 4772 Langebæk"
"Gl Vordingborgvej 25, 4772 Langebæk"
"Hovvejen 18, 4772 Langebæk"
"Langebæk Gade 15, 4772 Langebæk"
"Gl Vordingborgvej 26, 4772 Langebæk"
"Hovvejen 19, 4772 Langebæk"
"Langebæk Gade 16, 4772 Langebæk"
"Gl Vordingborgvej 27, 4772 Langebæk"
"Hovvejen 20, 4772 Langebæk"
"Langebæk Gade 18, 4772 Langebæk"
"Gl Vordingborgvej 28, 4772 Langebæk"
"Hovvejen 21, 4772 Langebæk"
"Langebæk Gade 19, 4772 Langebæk"
"Gl Vordingborgvej 29, 4772 Langebæk"
"Hovvejen 22, 4772 Langebæk"
"Langebæk Gade 20, 4772 Langebæk"
"Gl Vordingborgvej 30, 4772 Langebæk"
"Hovvejen 23, 4772 Langebæk"
"Langebæk Gade 21, 4772 Langebæk"
"Gl Vordingborgvej 31, 4772 Langebæk"
"Hovvejen 24, 4772 Langebæk"
"Langebæk Gade 22, 4772 Langebæk"
"Hovvejen 25, 4772 Langebæk"
"Gl Vordingborgvej 32, 4772 Langebæk"
"Langebæk Gade 23, 4772 Langebæk"
"Gl Vordingborgvej 33, 4772 Langebæk"
