"Kanalvej 12, Grænge, 4891 Toreby L"
"Kanalvej 45, Grænge, 4891 Toreby L"
"Åmarksvej 2A, Toreby, 4891 Toreby L"
"Åmarksvej 2B, Toreby, 4891 Toreby L"
"Åmarksvej 2C, Toreby, 4891 Toreby L"
"Stok-Holmsvej 11A, Toreby, 4891 Toreby L"
"Stok-Holmsvej 11B, Toreby, 4891 Toreby L"
"Åkandevej 19, Toreby, 4891 Toreby L"
"Åkandevej 23, Toreby, 4891 Toreby L"
"Grænge Skovvej 144, Grænge, 4891 Toreby L"
"Torebyvej 44A, 4891 Toreby L"
"Vestermark 8A, Flintinge, 4891 Toreby L"
"Torebyvej 44B, 4891 Toreby L"
"Vestermark 8B, Flintinge, 4891 Toreby L"
"Torebyvej 46, st., 4891 Toreby L"
"Vestermark 9, Flintinge, 4891 Toreby L"
"Torebyvej 46, 1., 4891 Toreby L"
"Møllevangen 2, Toreby, 4891 Toreby L"
"Torebyvej 46, 2., 4891 Toreby L"
"Torebyvej 48, 4891 Toreby L"
"Vestermark 11, Flintinge, 4891 Toreby L"
"Torebyvej 49, 4891 Toreby L"
"Vestermark 12, Flintinge, 4891 Toreby L"
"Torebyvej 50A, st., 4891 Toreby L"
"Vestermark 13A, Flintinge, 4891 Toreby L"
"Torebyvej 50A, 1., 4891 Toreby L"
"Vestermark 14, Flintinge, 4891 Toreby L"
"Torebyvej 50B, st., 4891 Toreby L"
"Vestermark 16, Flintinge, 4891 Toreby L"
"Torebyvej 50C, 4891 Toreby L"
"Vestermark 17, Flintinge, 4891 Toreby L"
"Torebyvej 52, 4891 Toreby L"
"Vestermark 18, Flintinge, 4891 Toreby L"
"Torebyvej 53, Grænge, 4891 Toreby L"
"Vestermark 19, Flintinge, 4891 Toreby L"
"Torebyvej 54, 4891 Toreby L"
"Vestermark 20, Flintinge, 4891 Toreby L"
"Hydesbyvej 1, Geltofte, 4891 Toreby L"
"Torebyvej 55, Grænge, 4891 Toreby L"
"Vestermark 21, Flintinge, 4891 Toreby L"
"Torebyvej 57, Grænge, 4891 Toreby L"
"Torebyvej 59, Grænge, 4891 Toreby L"
"Bymarken 9, Nagelsti, 4891 Toreby L"
"Torebyvej 60, st., 4891 Toreby L"
"Torebyvej 60, 1. th, 4891 Toreby L"
"Torebyvej 61, Grænge, 4891 Toreby L"
"Bymarken 14, Nagelsti, 4891 Toreby L"
"Møllevej 17, Flintinge, 4891 Toreby L"
"Skolevej 1, Toreby, 4891 Toreby L"
"Torebyvej 65, Grænge, 4891 Toreby L"
"Skolevej 2, Toreby, 4891 Toreby L"
"Torebyvej 66, 4891 Toreby L"
"Skolevej 3, Toreby, 4891 Toreby L"
"Torebyvej 67, Grænge, 4891 Toreby L"
"Grønvej 3, Toreby, 4891 Toreby L"
"Torebyvej 69, Grænge, 4891 Toreby L"
"Skolevej 5, Toreby, 4891 Toreby L"
"Torebyvej 71, Grænge, 4891 Toreby L"
"Skolevej 7, Toreby, 4891 Toreby L"
"Torebyvej 72, Grænge, 4891 Toreby L"
"Skolevej 8, Toreby, 4891 Toreby L"
"Torebyvej 74, Grænge, 4891 Toreby L"
"Skolevej 10, Toreby, 4891 Toreby L"
"Torebyvej 75, Grænge, 4891 Toreby L"
"Skolevej 12, Toreby, 4891 Toreby L"
