"Fuglegårdsvej 5, 4892 Kettinge"
"Fuglegårdsvej 5B, 4892 Kettinge"
"Eskemosevej 20, 4892 Kettinge"
"Stoffervej 7, 4892 Kettinge"
"Stoffervej 8, 4892 Kettinge"
"Stoffervej 9, 4892 Kettinge"
"Stoffervej 10, 4892 Kettinge"
"Grønnegadevej 36, 4892 Kettinge"
"Stoffervej 11, 4892 Kettinge"
"Stoffervej 12, 4892 Kettinge"
"Stoffervej 13, 4892 Kettinge"
"Tokkerupvej 1, 4892 Kettinge"
"Stoffervej 14, 4892 Kettinge"
"Tokkerupvej 2, 4892 Kettinge"
"Grønnegadevej 40, 4892 Kettinge"
"Stoffervej 15, 4892 Kettinge"
"Tokkerupvej 3, 4892 Kettinge"
"Grønnegadevej 41, 4892 Kettinge"
"Stoffervej 16, 4892 Kettinge"
"Tokkerupvej 4, 4892 Kettinge"
"Stoffervej 17, 4892 Kettinge"
"Tokkerupvej 6, 4892 Kettinge"
"Stoffervej 18, 4892 Kettinge"
"Tokkerupvej 7, 4892 Kettinge"
"Tokkerupvej 9, 4892 Kettinge"
"Bukkeholmvej 2, 4892 Kettinge"
"Tokkerupvej 11, 4892 Kettinge"
"Bukkeholmvej 3, 4892 Kettinge"
"Tokkerupvej 13, 4892 Kettinge"
"Bukkeholmvej 6, 4892 Kettinge"
"Grønnegadevej 58, 4892 Kettinge"
"Anneksvej 5, 4892 Kettinge"
"Grønnegadevej 60, 4892 Kettinge"
"Grønnegadevej 62, 4892 Kettinge"
"Torupvej 1, 4892 Kettinge"
"Torupvej 2, 4892 Kettinge"
"Torupvej 3, 4892 Kettinge"
"Torupvej 4, 4892 Kettinge"
"Skolevej 1, Frejlev, 4892 Kettinge"
"Torupvej 5, 4892 Kettinge"
"Torupvej 6, 4892 Kettinge"
"Bækkeskovvej 1, 4892 Kettinge"
"Skolevej 4, Frejlev, 4892 Kettinge"
"Torupvej 8, 4892 Kettinge"
"Bækkeskovvej 2, 4892 Kettinge"
"Knoldeholmsvej 8, Nr Frejlev, 4892 Kettinge"
"Skolevej 6, Frejlev, 4892 Kettinge"
"Torupvej 9, 4892 Kettinge"
"Bækkeskovvej 3, 4892 Kettinge"
