"Mosevej 8, 4945 Femø"
"Askhavnsvej 64B, 4945 Femø"
"Mosevej 5, 4945 Femø"
"Kirkehældevej 49, 4945 Femø"
"Kirkehældevej 51, 4945 Femø"
"Klubsvej 2, 4945 Femø"
"Klubsvej 5, 4945 Femø"
"Kongevejen 7, 4945 Femø"
"Kongevejen 9, 4945 Femø"
"Kongevejen 11, 4945 Femø"
"Kongevejen 13, 4945 Femø"
"Kongevejen 15, 4945 Femø"
"Krangs Stub 2, 4945 Femø"
"Markvej 7, 4945 Femø"
"Krangs Stub 4, 4945 Femø"
"Krangs Stub 5, 4945 Femø"
"Krangs Stub 7, 4945 Femø"
"Krangs Stub 9, 4945 Femø"
"Krangs Stub 13, 4945 Femø"
"Krangs Stub 25, 4945 Femø"
"Langemose 10, 4945 Femø"
"Langemose 14, 4945 Femø"
"Langemose 16, 4945 Femø"
"Langemose 20, 4945 Femø"
"Langemose 22, 4945 Femø"
"Langemose 24, 4945 Femø"
"Langemose 26, 4945 Femø"
"Langemose 28, 4945 Femø"
"Lille Strandgårdsvej 1, 4945 Femø"
"Lille Strandgårdsvej 3, 4945 Femø"
"Lille Strandgårdsvej 5, 4945 Femø"
"Lille Strandgårdsvej 11, 4945 Femø"
"Lille Strandgårdsvej 15, 4945 Femø"
"Lille Strandgårdsvej 17, 4945 Femø"
"Lille Strandgårdsvej 21, 4945 Femø"
"Lyngvej 3, 4945 Femø"
"Lyngvej 4, 4945 Femø"
"Lyngvej 6, 4945 Femø"
"Lyngvej 7, 4945 Femø"
"Lyngvej 8, 4945 Femø"
"Lyngvej 9, 4945 Femø"
"Lyngvej 10, 4945 Femø"
"Lyngvej 11, 4945 Femø"
"Lyngvej 12, 4945 Femø"
"Lyngvej 13, 4945 Femø"
"Askhavnsvej 1, 4945 Femø"
"Lyngvej 14, 4945 Femø"
"Lyngvej 15, 4945 Femø"
"Lyngvej 16, 4945 Femø"
"Lyngvej 17, 4945 Femø"
"Lyngvej 19, 4945 Femø"
"Lyngvej 21, 4945 Femø"
"Lyngvej 23, 4945 Femø"
"Lyngvej 25, 4945 Femø"
"Madsens Vænge 2, 4945 Femø"
"Madsens Vænge 5, 4945 Femø"
"Madsens Vænge 6, 4945 Femø"
"Madsens Vænge 7, 4945 Femø"
"Madsens Vænge 9, 4945 Femø"
"Madsens Vænge 11, 4945 Femø"
"Madsens Vænge 13, 4945 Femø"
"Madsens Vænge 14, 4945 Femø"
"Markvej 3, 4945 Femø"
"Markvej 4, 4945 Femø"
"Markvej 5, 4945 Femø"
"Markvej 6, 4945 Femø"
"Markvej 9, 4945 Femø"
"Markvej 10, 4945 Femø"
"Markvej 11, 4945 Femø"
"Mosevej 1, 4945 Femø"
"Mosevej 3, 4945 Femø"
"Mosevej 7, 4945 Femø"
"Mosevej 11, 4945 Femø"
"Nystængevej 10, 4945 Femø"
"Nystængevej 21, 4945 Femø"
"Pigmosevej 15, 4945 Femø"
"Pigmosevej 22, 4945 Femø"
"Præstevangen 1, 4945 Femø"
"Præstevangen 2, 4945 Femø"
"Præstevangen 3, 4945 Femø"
"Præstevangen 9, 4945 Femø"
"Præstevangen 15, 4945 Femø"
"Præstevangen 17, 4945 Femø"
"Præstevangen 18, 4945 Femø"
"Præstevangen 20, 4945 Femø"
"Præstevangen 22, 4945 Femø"
"Præstevangen 26, 4945 Femø"
"Præstevangen 27, 4945 Femø"
"Præstevangen 29, 4945 Femø"
"Tækkemandsstræde 1, 4945 Femø"
"Tækkemandsstræde 3, 4945 Femø"
"Tækkemandsstræde 5, 4945 Femø"
"Askhavnsvej 2, 4945 Femø"
"Askhavnsvej 3, 4945 Femø"
"Askhavnsvej 4, 4945 Femø"
"Askhavnsvej 5, 4945 Femø"
"Askhavnsvej 6, 4945 Femø"
"Askhavnsvej 7, 4945 Femø"
"Askhavnsvej 8, 4945 Femø"
"Askhavnsvej 9, 4945 Femø"
"Askhavnsvej 10, 4945 Femø"
"Askhavnsvej 11, 4945 Femø"
"Askhavnsvej 12, 4945 Femø"
"Askhavnsvej 13, 4945 Femø"
"Askhavnsvej 14, 4945 Femø"
"Askhavnsvej 16, 4945 Femø"
"Askhavnsvej 18, 4945 Femø"
"Askhavnsvej 20, 4945 Femø"
"Askhavnsvej 22, 4945 Femø"
"Askhavnsvej 32, 4945 Femø"
"Askhavnsvej 51, 4945 Femø"
"Askhavnsvej 54, 4945 Femø"
"Askhavnsvej 55, 4945 Femø"
"Askhavnsvej 56, 4945 Femø"
"Askhavnsvej 57, 4945 Femø"
"Askhavnsvej 58, 4945 Femø"
"Askhavnsvej 59, 4945 Femø"
"Askhavnsvej 61, 4945 Femø"
"Askhavnsvej 63, 4945 Femø"
"Askhavnsvej 65, 4945 Femø"
"Askhavnsvej 66, 4945 Femø"
"Askhavnsvej 66A, 4945 Femø"
"Askhavnsvej 67, 4945 Femø"
"Askhavnsvej 68, 4945 Femø"
"Askhavnsvej 69, st., 4945 Femø"
"Askhavnsvej 70, 4945 Femø"
"Askhavnsvej 71, 4945 Femø"
"Askhavnsvej 72, 4945 Femø"
"Askhavnsvej 73, 4945 Femø"
"Askhavnsvej 74, 4945 Femø"
"Askhavnsvej 75, 4945 Femø"
"Askhavnsvej 76, 4945 Femø"
"Askhavnsvej 77, 4945 Femø"
"Askhavnsvej 77A, 4945 Femø"
"Askhavnsvej 77B, 4945 Femø"
"Askhavnsvej 77C, 4945 Femø"
"Askhavnsvej 78, 4945 Femø"
"Askhavnsvej 79, 4945 Femø"
"Askhavnsvej 80, 4945 Femø"
"Askhavnsvej 81, 4945 Femø"
"Askhavnsvej 82, 4945 Femø"
"Askhavnsvej 83, 4945 Femø"
"Askhavnsvej 84, 4945 Femø"
"Askhavnsvej 86, 4945 Femø"
"Bakkevej 7, 4945 Femø"
"Bakkevej 1, 4945 Femø"
"Bakkevej 2, 4945 Femø"
"Bakkevej 5, 4945 Femø"
"Bakkevej 11, 4945 Femø"
"Bankevej 2, 4945 Femø"
"Bankevej 8, 4945 Femø"
"Damstrædet 1, 4945 Femø"
"Damstrædet 2, 4945 Femø"
"Damstrædet 3, 4945 Femø"
"Damstrædet 4, 4945 Femø"
"Damstrædet 5, 4945 Femø"
"Damstrædet 6, 4945 Femø"
"Damstrædet 7, 4945 Femø"
"Damstrædet 9, 4945 Femø"
"Damstrædet 10, 4945 Femø"
"Damstrædet 11, 4945 Femø"
"Damstrædet 11A, 4945 Femø"
"Damstrædet 13, 4945 Femø"
"Damstrædet 14, 4945 Femø"
"Damstrædet 15, 4945 Femø"
"Damstrædet 16, 4945 Femø"
"Damstrædet 17, 4945 Femø"
"Damstrædet 19, 4945 Femø"
"Damstrædet 21, 4945 Femø"
