"Lunden 10, 1., Aasum, 5320 Agedrup"
"Lunden 10, st., Aasum, 5320 Agedrup"
"Florahaven 122, Aasum, 5320 Agedrup"
"Florahaven 130, Aasum, 5320 Agedrup"
"Florahaven 174, Seden, 5320 Agedrup"
"Florahaven 70, Aasum, 5320 Agedrup"
"Florahaven 178, Aasum, 5320 Agedrup"
"Avenamarken 1, Aasum, 5320 Agedrup"
"Florahaven 74, Aasum, 5320 Agedrup"
"Avenamarken 11, Aasum, 5320 Agedrup"
"Avenamarken 39, Aasum, 5320 Agedrup"
"Avenamarken 31, Aasum, 5320 Agedrup"
"Avenamarken 15, Aasum, 5320 Agedrup"
"Avenamarken 23, Aasum, 5320 Agedrup"
"Avenamarken 47, Aasum, 5320 Agedrup"
"Avenamarken 53, Aasum, 5320 Agedrup"
"Avenamarken 69, Aasum, 5320 Agedrup"
"Avenamarken 93, Aasum, 5320 Agedrup"
"Avenamarken 61, Aasum, 5320 Agedrup"
"Avenamarken 77, Aasum, 5320 Agedrup"
"Avenamarken 85, Aasum, 5320 Agedrup"
"Avenamarken 99, Aasum, 5320 Agedrup"
"Brolandvænget 8A, Bullerup, 5320 Agedrup"
"Brolandvænget 8B, Bullerup, 5320 Agedrup"
"Lunden 6A, Aasum, 5320 Agedrup"
"Gåseholmvej 5, Agedrup, 5320 Agedrup"
"Brolandvej 105, Agedrup, 5320 Agedrup"
"Brolandvej 107, Agedrup, 5320 Agedrup"
"Agedrupvej 22B, Agedrup, 5320 Agedrup"
"Saven 2, Bullerup, 5320 Agedrup"
"Hammeren 11, Bullerup, 5320 Agedrup"
"Saven 3, Bullerup, 5320 Agedrup"
"Hammeren 12, Bullerup, 5320 Agedrup"
"Saven 4, Bullerup, 5320 Agedrup"
"Hammeren 13, Bullerup, 5320 Agedrup"
"Saven 5, Bullerup, 5320 Agedrup"
"Engløkken 1, Bullerup, 5320 Agedrup"
"Hammeren 14, Bullerup, 5320 Agedrup"
"Saven 6, Bullerup, 5320 Agedrup"
"Engløkken 2, Bullerup, 5320 Agedrup"
"Hammeren 15, Bullerup, 5320 Agedrup"
"Saven 7, Bullerup, 5320 Agedrup"
"Engløkken 3, Bullerup, 5320 Agedrup"
"Hammeren 16, Bullerup, 5320 Agedrup"
"Saven 8, Bullerup, 5320 Agedrup"
"Engløkken 4, Bullerup, 5320 Agedrup"
"Hammeren 17, Bullerup, 5320 Agedrup"
"Saven 9, Bullerup, 5320 Agedrup"
"Engløkken 5, Bullerup, 5320 Agedrup"
"Ved Bækken 1, Bullerup, 5320 Agedrup"
"Hammeren 18, Bullerup, 5320 Agedrup"
"Saven 10, Bullerup, 5320 Agedrup"
"Standtvedvej 4, Agedrup, 5320 Agedrup"
"Engløkken 45, Bullerup, 5320 Agedrup"
"Ved Bækken 2A, Bullerup, 5320 Agedrup"
"Hammeren 19, Bullerup, 5320 Agedrup"
"Standtvedvej 17A, Agedrup, 5320 Agedrup"
"Engløkken 55, Bullerup, 5320 Agedrup"
"Ved Bækken 2B, Bullerup, 5320 Agedrup"
"Hammeren 21, Bullerup, 5320 Agedrup"
"Saven 12, Bullerup, 5320 Agedrup"
"Ved Bækken 3, Bullerup, 5320 Agedrup"
"Lunden 26, Bullerup, 5320 Agedrup"
"Hammeren 23, Bullerup, 5320 Agedrup"
"Markhaven 2B, Bullerup, 5320 Agedrup"
"Saven 13, Bullerup, 5320 Agedrup"
"Ved Bækken 4, Bullerup, 5320 Agedrup"
"Hammeren 24, Bullerup, 5320 Agedrup"
"Saven 15, Bullerup, 5320 Agedrup"
"Standtvedvej 28, Agedrup, 5320 Agedrup"
"Ved Bækken 5, Bullerup, 5320 Agedrup"
"Hammeren 25, Bullerup, 5320 Agedrup"
"Saven 17, Bullerup, 5320 Agedrup"
"Ved Bækken 6, Bullerup, 5320 Agedrup"
