"Stævnegårdsvej 4, Harndrup, 5463 Harndrup"
"Juelsmindevænget 5, Harndrup, 5463 Harndrup"
"Juelsmindevænget 13, Harndrup, 5463 Harndrup"
"Stævnegårdsvej 1, Harndrup, 5463 Harndrup"
"Vindebjergvej 12, th, Harndrup, 5463 Harndrup"
"Stengade 34B, Harndrup, 5463 Harndrup"
"Juelsmindevænget 24, Harndrup, 5463 Harndrup"
"Hjortebjergvænget 6, Harndrup, 5463 Harndrup"
"Juelsmindevænget 6, Harndrup, 5463 Harndrup"
"Juelsmindevej 44, Graderup, 5463 Harndrup"
"Rugårdsvej 18, Harndrup, 5463 Harndrup"
"Stengade 11, Harndrup, 5463 Harndrup"
"Rugårdsvej 19, Harndrup, 5463 Harndrup"
"Stengade 12, Harndrup, 5463 Harndrup"
"Rugårdsvej 21A, Harndrup, 5463 Harndrup"
"Stengade 13, Harndrup, 5463 Harndrup"
"Rugårdsvej 23, Harndrup, 5463 Harndrup"
"Stengade 14, Harndrup, 5463 Harndrup"
"Rugårdsvej 25, Harndrup, 5463 Harndrup"
"Stengade 15, Harndrup, 5463 Harndrup"
"Fyllestedvej 44, Fyllested Mk, 5463 Harndrup"
"Rugårdsvej 26, Harndrup, 5463 Harndrup"
"Stengade 16, Harndrup, 5463 Harndrup"
"Juelsmindevænget 2, Harndrup, 5463 Harndrup"
"Rugårdsvej 27, Harndrup, 5463 Harndrup"
"Skovgårdvej 3, Fjelsted, 5463 Harndrup"
"Stengade 17, Harndrup, 5463 Harndrup"
"Juelsmindevænget 7, Harndrup, 5463 Harndrup"
"Rugårdsvej 29, Harndrup, 5463 Harndrup"
"Skovgårdvej 4, Fjelsted, 5463 Harndrup"
"Stengade 18, Harndrup, 5463 Harndrup"
"Juelsmindevænget 9, Harndrup, 5463 Harndrup"
"Rugårdsvej 30, Harndrup, 5463 Harndrup"
"Skovgårdvej 6, Fjelsted, 5463 Harndrup"
"Stengade 19, Harndrup, 5463 Harndrup"
"Juelsmindevænget 10, Harndrup, 5463 Harndrup"
"Rugårdsvej 31, Harndrup, 5463 Harndrup"
"Stengade 20, Harndrup, 5463 Harndrup"
"Juelsmindevænget 11, Harndrup, 5463 Harndrup"
"Rugårdsvej 32, Harndrup, 5463 Harndrup"
"Stengade 21, Harndrup, 5463 Harndrup"
"Juelsmindevænget 12, Harndrup, 5463 Harndrup"
"Rugårdsvej 36, Harndrup, 5463 Harndrup"
"Stengade 22, Harndrup, 5463 Harndrup"
"Juelsmindevænget 14, Harndrup, 5463 Harndrup"
"Lundsgårdsvej 8, Lundsgårde, 5463 Harndrup"
"Rugårdsvej 37, Harndrup, 5463 Harndrup"
"Stengade 23, Harndrup, 5463 Harndrup"
"Juelsmindevænget 15, Harndrup, 5463 Harndrup"
"Lundsgårdsvej 17, Lundsgårde, 5463 Harndrup"
"Rugårdsvej 39, Harndrup, 5463 Harndrup"
"Stengade 24, Harndrup, 5463 Harndrup"
"Stengade 25, Harndrup, 5463 Harndrup"
"Juelsmindevænget 18, Harndrup, 5463 Harndrup"
"Lundsgårdsvej 18, Lundsgårde, 5463 Harndrup"
"Rugårdsvej 40, Harndrup, 5463 Harndrup"
"Juelsmindevænget 19, Harndrup, 5463 Harndrup"
"Lundsgårdsvej 19, Lundsgårde, 5463 Harndrup"
"Rugårdsvej 41, Harndrup, 5463 Harndrup"
"Stengade 26, Harndrup, 5463 Harndrup"
"Jægersmindevej 1, Fjelsted, 5463 Harndrup"
"Lundsgårdsvej 21, Lundsgårde, 5463 Harndrup"
"Rugårdsvej 42, Harndrup, 5463 Harndrup"
"Stengade 27, Harndrup, 5463 Harndrup"
"Jægersmindevej 2, Fjelsted, 5463 Harndrup"
"Lundsgårdsvej 25, Lundsgårde, 5463 Harndrup"
"Rugårdsvej 43, Harndrup, 5463 Harndrup"
"Stengade 28, Harndrup, 5463 Harndrup"
"Jægersmindevej 3, Fjelsted, 5463 Harndrup"
"Lundsgårdsvej 26, Lundsgårde, 5463 Harndrup"
"Rugårdsvej 44, Harndrup, 5463 Harndrup"
"Stengade 29, Harndrup, 5463 Harndrup"
"Jægersmindevej 5, Fjelsted, 5463 Harndrup"
"Lundsgårdsvej 27, Lundsgårde, 5463 Harndrup"
"Rugårdsvej 45, Harndrup, 5463 Harndrup"
"Stengade 30, Harndrup, 5463 Harndrup"
"Lundsgårdsvej 31, Lundsgårde, 5463 Harndrup"
"Rugårdsvej 46, Harndrup, 5463 Harndrup"
"Stengade 31, Harndrup, 5463 Harndrup"
"Jægersmindevej 7, Fjelsted, 5463 Harndrup"
"Rugårdsvej 47, Harndrup, 5463 Harndrup"
"Stengade 32, Harndrup, 5463 Harndrup"
"Jægersmindevej 8, Fjelsted, 5463 Harndrup"
"Rugårdsvej 48, Harndrup, 5463 Harndrup"
"Stengade 33, Harndrup, 5463 Harndrup"
"Jægersmindevej 9, Fjelsted, 5463 Harndrup"
"Rugårdsvej 50, Harndrup, 5463 Harndrup"
"Jægersmindevej 10, Fjelsted, 5463 Harndrup"
"Rugårdsvej 51, Harndrup, 5463 Harndrup"
"Stengade 35, Harndrup, 5463 Harndrup"
"Jægersmindevej 11, Fjelsted, 5463 Harndrup"
"Rugårdsvej 52, Harndrup, 5463 Harndrup"
"Stengade 37, Harndrup, 5463 Harndrup"
"Jægersmindevej 12, Fjelsted, 5463 Harndrup"
"Rugårdsvej 53, Harndrup, 5463 Harndrup"
"Stengade 39, Harndrup, 5463 Harndrup"
"Jægersmindevej 13, Fjelsted, 5463 Harndrup"
"Rugårdsvej 54, Harndrup, 5463 Harndrup"
"Jægersmindevej 14, Fjelsted, 5463 Harndrup"
"Stengade 41, Harndrup, 5463 Harndrup"
"Jægersmindevej 15, Fjelsted, 5463 Harndrup"
"Rugårdsvej 59, Harndrup, 5463 Harndrup"
"Jægersmindevej 16, Fjelsted, 5463 Harndrup"
"Jægersmindevej 17, Fjelsted, 5463 Harndrup"
"Rugårdsvej 62, Harndrup, 5463 Harndrup"
"Jægersmindevej 18, Fjelsted, 5463 Harndrup"
"Rugårdsvej 64, Harndrup, 5463 Harndrup"
