"Bjørnø 11G, 5603 Bjørnø"
"Bjørnø 1, 5603 Bjørnø"
"Bjørnø 2, 5603 Bjørnø"
"Bjørnø 3, 5603 Bjørnø"
"Bjørnø 4, 5603 Bjørnø"
"Bjørnø 5, 5603 Bjørnø"
"Bjørnø 7, 5603 Bjørnø"
"Bjørnø 8, 5603 Bjørnø"
"Bjørnø 9, 5603 Bjørnø"
"Bjørnø 9A, 5603 Bjørnø"
"Bjørnø 9B, 5603 Bjørnø"
"Bjørnø 11, 5603 Bjørnø"
"Bjørnø 17, 5603 Bjørnø"
"Bjørnø 19, 5603 Bjørnø"
"Bjørnø 25, 5603 Bjørnø"
"Bjørnø 31, 5603 Bjørnø"
"Bjørnø 33, 5603 Bjørnø"
"Bjørnø 35, 5603 Bjørnø"
"Bjørnø 10C, 5603 Bjørnø"
"Bjørnø 27, 5603 Bjørnø"
"Bjørnø 17A, 5603 Bjørnø"
"Bjørnø 6, 5603 Bjørnø"
"Bjørnø 10B, 5603 Bjørnø"
"Bjørnø 15, 5603 Bjørnø"
"Bjørnø 2A, 5603 Bjørnø"
"Bjørnø 10A, 5603 Bjørnø"
"Bjørnø 7A, 5603 Bjørnø"
"Bjørnø 21, 5603 Bjørnø"
"Bjørnø 12, 5603 Bjørnø"
"Bjørnø 14, 5603 Bjørnø"
"Bjørnø 13, 5603 Bjørnø"
"Bjørnø 16, 5603 Bjørnø"
"Bjørnø 15C, 5603 Bjørnø"
"Bjørnø 23, 5603 Bjørnø"
