"Nydamsvej 5, V Hæsinge, 5672 Broby"
"Birkevej 70, V Hæsinge, 5672 Broby"
"Bjergvejen 58, Vejle, 5672 Broby"
"Spurvelunden 20, Vejle, 5672 Broby"
"Leddet 16, Brobyværk, 5672 Broby"
"Vesterågade 5, 1., Nr Broby, 5672 Broby"
"Flintebjergvænget 68, Nr Broby, 5672 Broby"
"Solbakken 68, Allested, 5672 Broby"
"Rypevej 15, Allested, 5672 Broby"
"Jordløsevej 23A, V Hæsinge, 5672 Broby"
"Spurvelunden 72, Vejle, 5672 Broby"
"Lundegårdsvej 72, Vittinge, 5672 Broby"
"Lundegårdsvej 73A, 5672 Broby"
"Lundegårdsvej 73B, 5672 Broby"
"Lundegårdsvej 77, Vittinge, 5672 Broby"
"Lundegårdsvej 79, Vittinge, 5672 Broby"
"Lundegårdsvej 81, Vittinge, 5672 Broby"
"Lundegårdsvej 83, Vittinge, 5672 Broby"
"Lundegårdsvej 85, Vittinge, 5672 Broby"
"Lundegårdsvej 44, Nr Broby, 5672 Broby"
"Lundegårdsvej 46, Nr Broby, 5672 Broby"
"Lundegårdsvej 64, Nr Broby, 5672 Broby"
"Åløkkevej 1, Brobyværk, 5672 Broby"
"Allerupgyden 1A, Vøjstrup, 5672 Broby"
"Leddet 12, Brobyværk, 5672 Broby"
"Solbakken 8, Allested, 5672 Broby"
"Spurvelunden 76, Vejle, 5672 Broby"
"Storkevej 6, Allested, 5672 Broby"
"Rolighedsvej 21B, V Hæsinge, 5672 Broby"
"Rolighedsvej 21C, V Hæsinge, 5672 Broby"
"Rolighedsvej 21D, V Hæsinge, 5672 Broby"
"Storkevej 4, Allested, 5672 Broby"
"Storkevej 8, Allested, 5672 Broby"
"Fangelvej 23A, Vejle, 5672 Broby"
"Spurvelunden 66, Vejle, 5672 Broby"
"Leddet 13, Brobyværk, 5672 Broby"
"Leddet 3, Brobyværk, 5672 Broby"
"Spurvelunden 18, Vejle, 5672 Broby"
"Rolighedsvej 21A, V Hæsinge, 5672 Broby"
"Vestergade 11, V Hæsinge, 5672 Broby"
"Flintebjergvænget 121, Nr Broby, 5672 Broby"
"Flintebjergvænget 123, Nr Broby, 5672 Broby"
"Flintebjergvænget 125, Nr Broby, 5672 Broby"
"Flintebjergvænget 127, Nr Broby, 5672 Broby"
"Flintebjergvænget 129, Nr Broby, 5672 Broby"
"Flintebjergvænget 131, Nr Broby, 5672 Broby"
"Flintebjergvænget 133, Nr Broby, 5672 Broby"
"Flintebjergvænget 135, Nr Broby, 5672 Broby"
"Flintebjergvænget 137, Nr Broby, 5672 Broby"
"Flintebjergvænget 139, Nr Broby, 5672 Broby"
"Flintebjergvænget 141, Nr Broby, 5672 Broby"
"Flintebjergvænget 143, Nr Broby, 5672 Broby"
"Flintebjergvænget 145, Nr Broby, 5672 Broby"
"Flintebjergvænget 147, Nr Broby, 5672 Broby"
"Marsk Billesvej 21, 1., Brobyværk, 5672 Broby"
"Marsk Billesvej 21, st., Brobyværk, 5672 Broby"
"Dæmningen 35, Nr Broby, 5672 Broby"
"Flintebjergvænget 90, Nr Broby, 5672 Broby"
"Jordløsevej 37, V Hæsinge, 5672 Broby"
"Ny Vestergade 28, Vejle, 5672 Broby"
"Rolighedsvej 23, V Hæsinge, 5672 Broby"
"Spurvelunden 6, Vejle, 5672 Broby"
"Søbjergvænget 110, Nr Broby, 5672 Broby"
"Østergade 49, Allested, 5672 Broby"
"Bjergvejen 58A, Vejle, 5672 Broby"
"Dæmningen 37, Nr Broby, 5672 Broby"
"Flintebjergvænget 92, Nr Broby, 5672 Broby"
"Jordløsevej 39, V Hæsinge, 5672 Broby"
"Ny Vestergade 29, Vejle, 5672 Broby"
"Rolighedsvej 24, V Hæsinge, 5672 Broby"
"Spurvelunden 7, Vejle, 5672 Broby"
"Søbovej 1A, V Hæsinge, 5672 Broby"
"Østergade 50, st., Allested, 5672 Broby"
"Ny Vestergade 32, Vejle, 5672 Broby"
"Bjergvejen 60, Vejle, 5672 Broby"
"Dæmningen 39, Nr Broby, 5672 Broby"
"Flintebjergvænget 94, Nr Broby, 5672 Broby"
"Jordløsevej 41, V Hæsinge, 5672 Broby"
"Rolighedsvej 25, V Hæsinge, 5672 Broby"
"Spurvelunden 8, Vejle, 5672 Broby"
"Søbovej 2, V Hæsinge, 5672 Broby"
"Vestergade 12, V Hæsinge, 5672 Broby"
"Østergade 50, 1., Allested, 5672 Broby"
"Bjergvejen 61, Vejle, 5672 Broby"
"Dæmningen 41, Nr Broby, 5672 Broby"
"Flintebjergvænget 96, Nr Broby, 5672 Broby"
"Jordløsevej 43, V Hæsinge, 5672 Broby"
"Ny Vestergade 33, Vejle, 5672 Broby"
"Rolighedsvej 26, V Hæsinge, 5672 Broby"
"Spurvelunden 10, Vejle, 5672 Broby"
"Søbovej 4, V Hæsinge, 5672 Broby"
"Vestergade 13, V Hæsinge, 5672 Broby"
"Østergade 51, Allested, 5672 Broby"
"Bjergvejen 63, Vejle, 5672 Broby"
"Dæmningen 43, Nr Broby, 5672 Broby"
"Karlsbjergvej 3, Sdr Broby, 5672 Broby"
"Ny Vestergade 34, Vejle, 5672 Broby"
"Rolighedsvej 27, V Hæsinge, 5672 Broby"
"Spurvelunden 12, Vejle, 5672 Broby"
"Vestergade 14, V Hæsinge, 5672 Broby"
"Østergade 52, Allested, 5672 Broby"
"Bjergvejen 64, Vejle, 5672 Broby"
"Egeballe 1A, Nr Broby, 5672 Broby"
"Flægskovvej 1, Vittinge, 5672 Broby"
"Ny Vestergade 34A, Vejle, 5672 Broby"
"Rolighedsvej 28, V Hæsinge, 5672 Broby"
"Spurvelunden 13, Vejle, 5672 Broby"
"Søbovej 8, V Hæsinge, 5672 Broby"
"Vestergade 15, V Hæsinge, 5672 Broby"
"Østergade 53, Allested, 5672 Broby"
"Bjergvejen 65, Vejle, 5672 Broby"
"Egeballe 1G, Nr Broby, 5672 Broby"
"Flægskovvej 2, Vittinge, 5672 Broby"
"Karlsbjergvej 7, Sdr Broby, 5672 Broby"
"Lærkevej 1, Allested, 5672 Broby"
"Ny Vestergade 35, Vejle, 5672 Broby"
"Spurvelunden 14, Vejle, 5672 Broby"
"Søbyvej 1, Radby, 5672 Broby"
"Vestergade 17, V Hæsinge, 5672 Broby"
"Østergade 54, Allested, 5672 Broby"
"Bjergvejen 66, Vejle, 5672 Broby"
"Egeballe 2, Nr Broby, 5672 Broby"
"Flægskovvej 4, Vittinge, 5672 Broby"
"Karlsbjergvej 9, Sdr Broby, 5672 Broby"
"Lærkevej 2, Allested, 5672 Broby"
"Ny Vestergade 39, Vejle, 5672 Broby"
"Rosenvænget 1, Nr Broby, 5672 Broby"
"Spurvelunden 16, Vejle, 5672 Broby"
"Søbyvej 2, Radby, 5672 Broby"
"Vestergade 19, V Hæsinge, 5672 Broby"
"Østergade 56, Allested, 5672 Broby"
"Bjergvejen 69, Vejle, 5672 Broby"
