"Præstevænget 2A, 5854 Gislev"
"Eskelundsvej 1D, 5854 Gislev"
"Grønneparken 4, 5854 Gislev"
"Grønneparken 6, 5854 Gislev"
"Grønneparken 8, 5854 Gislev"
"Grønneparken 10, 5854 Gislev"
"Ørbækvej 29, 5854 Gislev"
"Kullerupvej 1, 5854 Gislev"
"Bjergager 41, 5854 Gislev"
"Ørbækvej 10A, 1. mf, 5854 Gislev"
"Svinget 2C, 5854 Gislev"
"Bjergager 19, 5854 Gislev"
"Faaborgvej 2, 5854 Gislev"
"Mosevej 13, 5854 Gislev"
"Vænget 1, 5854 Gislev"
"Håndværkervej 2, 5854 Gislev"
"Vænget 2, 5854 Gislev"
"Håndværkervej 3, 5854 Gislev"
"Vænget 3, 5854 Gislev"
"Håndværkervej 4, 5854 Gislev"
"Vænget 4, 5854 Gislev"
"Håndværkervej 5, 5854 Gislev"
"Vænget 5A, 5854 Gislev"
"Vænget 5B, 5854 Gislev"
"Skelvænget 1, 5854 Gislev"
"Vænget 6, 5854 Gislev"
"Skelvænget 2, 5854 Gislev"
"Skelvænget 6, 5854 Gislev"
"Skelvænget 8, 5854 Gislev"
"Skelvænget 10, 5854 Gislev"
"Skelvænget 12, 5854 Gislev"
"Skelvænget 14, 5854 Gislev"
"Damgårdsvej 1, 5854 Gislev"
"Løvsangervænget 1, 5854 Gislev"
"Skelvænget 16, 5854 Gislev"
"Damgårdsvej 2, 5854 Gislev"
"Løvsangervænget 2, 5854 Gislev"
"Nyhave 2, 5854 Gislev"
"Skelvænget 18, 5854 Gislev"
"Damgårdsvej 3, 5854 Gislev"
"Løvsangervænget 3, 5854 Gislev"
"Nyhave 4, 5854 Gislev"
"Skelvænget 20, 5854 Gislev"
"Damgårdsvej 5, 5854 Gislev"
"Løvsangervænget 4, 5854 Gislev"
"Nyhave 6, 5854 Gislev"
"Skelvænget 22, 5854 Gislev"
"Sveltekrogen 1, 5854 Gislev"
"Faaborgvej 24, 5854 Gislev"
"Løvsangervænget 6, 5854 Gislev"
"Skelvænget 24, 5854 Gislev"
"Sveltekrogen 1, st., 5854 Gislev"
"Skelvænget 26, 5854 Gislev"
"Sveltekrogen 1, 1., 5854 Gislev"
"Skelvænget 28, 5854 Gislev"
"Sveltekrogen 2, 5854 Gislev"
"Skelvænget 32, 5854 Gislev"
"Sveltekrogen 3, 5854 Gislev"
"Skelvænget 34, 5854 Gislev"
"Skelvænget 36, 5854 Gislev"
"Sveltekrogen 6, 5854 Gislev"
"Skelvænget 38, 5854 Gislev"
"Sveltekrogen 8, 5854 Gislev"
"Skelvænget 40, 5854 Gislev"
"Sveltekrogen 10, 5854 Gislev"
"Skolegyden 1, 5854 Gislev"
"Skolegyden 3, 5854 Gislev"
"Bjergager 1A, 5854 Gislev"
"Skolegyden 4, 5854 Gislev"
"Bjergager 1B, 5854 Gislev"
"Skolegyden 5, 5854 Gislev"
"Bjergager 3A, 5854 Gislev"
"Skolevej 1, 5854 Gislev"
"Bjergager 3B, 5854 Gislev"
"Skolevej 3, 5854 Gislev"
"Bjergager 5A, 5854 Gislev"
"Degnemarken 1, 5854 Gislev"
"Kullerupvej 2, 5854 Gislev"
"Skolevej 5, 5854 Gislev"
"Degnemarken 2, 5854 Gislev"
"Skolevej 7, 5854 Gislev"
"Bjergager 5B, 5854 Gislev"
"Degnemarken 3, 5854 Gislev"
"Mosevej 1, st., 5854 Gislev"
"Degnemarken 4, 5854 Gislev"
"Mosevej 1, 1., 5854 Gislev"
"Bjergager 5C, 5854 Gislev"
"Degnemarken 5, 5854 Gislev"
"Mosevej 2, 5854 Gislev"
"Degnemarken 6, 5854 Gislev"
"Mosevej 3, st., 5854 Gislev"
"Bjergager 7A, 5854 Gislev"
"Degnemarken 7, 5854 Gislev"
"Mosevej 3, 1., 5854 Gislev"
"Degnemarken 8, 5854 Gislev"
"Mosevej 4, 5854 Gislev"
"Bjergager 7B, 5854 Gislev"
"Degnemarken 9, 5854 Gislev"
"Eskelundsvej 2, 5854 Gislev"
"Mosevej 5, 5854 Gislev"
"Ørbækvej 4, 5854 Gislev"
"Degnemarken 10, 5854 Gislev"
"Mosevej 6, 5854 Gislev"
"Ørbækvej 5, 5854 Gislev"
"Bjergager 9, 5854 Gislev"
"Degnemarken 11, 5854 Gislev"
"Eskelundsvej 4, 5854 Gislev"
"Ørbækvej 7, 5854 Gislev"
"Bjergager 11A, 5854 Gislev"
"Degnemarken 13, 5854 Gislev"
"Mosevej 8, 5854 Gislev"
"Ørbækvej 8, 5854 Gislev"
"Degnemarken 14, 5854 Gislev"
"Mosevej 9, 5854 Gislev"
"Ørbækvej 9, 5854 Gislev"
"Bjergager 11B, 5854 Gislev"
"Degnemarken 15, 5854 Gislev"
