"Østervangen 41, 5883 Oure"
"Østervangen 45A, 5883 Oure"
"Østervangen 45B, 5883 Oure"
"Østervangen 45C, 5883 Oure"
"Østervangen 45D, 5883 Oure"
"Østervangen 45E, 5883 Oure"
"Østervangen 45F, 5883 Oure"
"Østervangen 45G, 5883 Oure"
"Østervangen 45H, 5883 Oure"
"Skolevænget 1, 5883 Oure"
"Skolevænget 10, 5883 Oure"
"Rønnevænget 5, 5883 Oure"
"Rønnevænget 4, 5883 Oure"
"Østervangen 45K, 5883 Oure"
"Landevejen 97, 5883 Oure"
"Rønnevej 11, 5883 Oure"
"Rønnevej 15, 5883 Oure"
"Stjernevænget 3, 5883 Oure"
"Rønnevej 16, 5883 Oure"
"Stjernevænget 4, 5883 Oure"
"Rønnevej 17, 5883 Oure"
"Stjernevænget 5, 5883 Oure"
"Landevejen 99, 5883 Oure"
"Rønnevænget 1, 5883 Oure"
"Stjernevænget 6, 5883 Oure"
"Landevejen 102, 5883 Oure"
"Rønnevænget 6, 5883 Oure"
"Stjernevænget 7, 5883 Oure"
"Rønnevænget 7, 5883 Oure"
"Stjernevænget 8, 5883 Oure"
"Rønnevænget 8, 5883 Oure"
"Stjernevænget 9, 5883 Oure"
"Landevejen 107, 5883 Oure"
"Rønnevænget 12, 5883 Oure"
"Stjernevænget 10, 5883 Oure"
"Landevejen 109, 5883 Oure"
"Stjernevænget 12, 5883 Oure"
"Landevejen 111, 5883 Oure"
"Landevejen 113, 5883 Oure"
"Landevejen 114, 5883 Oure"
"Landevejen 116, 5883 Oure"
"Landevejen 117, 5883 Oure"
"Landevejen 118, 5883 Oure"
"Landevejen 119, 5883 Oure"
"Landevejen 120, 5883 Oure"
"Landevejen 121, 5883 Oure"
"Landevejen 122, 5883 Oure"
"Landevejen 123, 5883 Oure"
"Landevejen 126, 5883 Oure"
"Boelsmosevej 7, 5883 Oure"
"Landevejen 127, 5883 Oure"
"Boelsmosevej 8, 5883 Oure"
"Landevejen 128, 5883 Oure"
"Boelsmosevej 12, 5883 Oure"
"Landevejen 129, 5883 Oure"
"Boelsmosevej 15, 5883 Oure"
"Landevejen 130, 5883 Oure"
"Boelsmosevej 16, 5883 Oure"
"Landevejen 131, 5883 Oure"
"Boelsmosevej 17, 5883 Oure"
"Landevejen 132, 5883 Oure"
"Boelsmosevej 18, 5883 Oure"
"Landevejen 133, 5883 Oure"
"Boelsmosevej 19, st., 5883 Oure"
"Landevejen 134, 5883 Oure"
"Boelsmosevej 19, 1., 5883 Oure"
"Landevejen 135, 5883 Oure"
"Boelsmosevej 21, 5883 Oure"
"Landevejen 136, 5883 Oure"
"Boelsmosevej 22, 5883 Oure"
"Landevejen 137, 5883 Oure"
"Boelsmosevej 23, 5883 Oure"
"Landevejen 138, 5883 Oure"
"Boelsmosevej 24, 5883 Oure"
"Landevejen 139, 5883 Oure"
"Boelsmosevej 25, 5883 Oure"
"Landevejen 140, 5883 Oure"
"Boelsmosevej 29, 5883 Oure"
"Landevejen 141, 5883 Oure"
"Boelsmosevej 30, 5883 Oure"
"Landevejen 142, 5883 Oure"
"Landevejen 143, 5883 Oure"
"Landevejen 144, 5883 Oure"
"Landevejen 145, 5883 Oure"
"Landevejen 146, 5883 Oure"
"Landevejen 147, 5883 Oure"
"Landevejen 148, 5883 Oure"
"Landevejen 150, 5883 Oure"
"Landevejen 151, 5883 Oure"
"Landevejen 153, 5883 Oure"
"Fredskovvej 5, 5883 Oure"
"Landevejen 154, 5883 Oure"
"Landevejen 155, 5883 Oure"
"Landevejen 156, 5883 Oure"
"Fredskovvej 10A, 5883 Oure"
"Knarreborg Møllevej 5, 5883 Oure"
"Landevejen 157, 5883 Oure"
"Knarreborg Møllevej 6, 5883 Oure"
"Landevejen 157, 1., 5883 Oure"
"Knarreborg Møllevej 8, 5883 Oure"
"Landevejen 158, 5883 Oure"
"Fredskovvej 14, 5883 Oure"
"Knarreborg Møllevej 9, 5883 Oure"
"Landevejen 159A, 5883 Oure"
"Fredskovvej 16A, 5883 Oure"
"Knarreborg Møllevej 10, 5883 Oure"
"Landevejen 159B, 5883 Oure"
"Fredskovvej 16B, 5883 Oure"
"Knarreborg Møllevej 12, 5883 Oure"
"Landevejen 159C, 5883 Oure"
"Fredskovvej 17, 5883 Oure"
"Knarreborg Møllevej 16, 5883 Oure"
"Landevejen 161, 5883 Oure"
"Månevænget 1, 5883 Oure"
"Fredskovvej 18, 5883 Oure"
"Knarreborg Møllevej 17, 5883 Oure"
"Landevejen 162, 5883 Oure"
"Månevænget 4, 5883 Oure"
"Fredskovvej 22, 5883 Oure"
"Knarreborg Møllevej 25, 5883 Oure"
"Landevejen 164, 5883 Oure"
"Månevænget 5, 5883 Oure"
"Landevejen 166, 5883 Oure"
"Månevænget 6, 5883 Oure"
"Landevejen 177, 5883 Oure"
"Månevænget 7, 5883 Oure"
"Landevejen 179, 5883 Oure"
"Månevænget 8, 5883 Oure"
"Landevejen 183, 5883 Oure"
"Månevænget 10, 5883 Oure"
"Landevejen 185, 5883 Oure"
"Landevejen 187, 5883 Oure"
"Hammesbrovej 2, 5883 Oure"
"Hammesbrovej 4A, 5883 Oure"
"Hammesbrovej 4B, 5883 Oure"
"Hammesbrovej 4C, 5883 Oure"
"Tværvej 4, 5883 Oure"
"Hammesbrovej 5, 5883 Oure"
"Hammesbrovej 6, 5883 Oure"
"Hammesbrovej 7, 5883 Oure"
"Hammesbrovej 11, 5883 Oure"
"Fuglehavevej 2, 5883 Oure"
"Hammesbrovej 13, 5883 Oure"
"Fuglehavevej 4, 5883 Oure"
"Hammesbrovej 14, 5883 Oure"
"Fuglehavevej 6, 5883 Oure"
"Hammesbrovej 15, 5883 Oure"
