"Barsø Bygade 2, 6210 Barsø"
"Barsø Bygade 8, 6210 Barsø"
"Barsø Bygade 16, 6210 Barsø"
"Barsø Bygade 21, 6210 Barsø"
"Barsø Bygade 22, 6210 Barsø"
"Barsø Bygade 22, 1., 6210 Barsø"
"Barsø Bygade 26, 6210 Barsø"
"Barsø Bygade 34, 6210 Barsø"
"Barsø Bygade 40, 6210 Barsø"
"Barsø Bygade 50, 6210 Barsø"
"Barsø Bygade 51, 6210 Barsø"
"Barsø Bygade 54, 6210 Barsø"
"Barsø Bygade 56, 6210 Barsø"
"Barsø Bygade 57, 6210 Barsø"
"Barsø Bygade 57A, 6210 Barsø"
"Barsø Bygade 58, 6210 Barsø"
"Barsø Bygade 59, 6210 Barsø"
"Barsø Bygade 70, 6210 Barsø"
"Barsø Bygade 1, 6210 Barsø"
"Barsø Bygade 3, 6210 Barsø"
"Barsø Bygade 53, 6210 Barsø"
"Barsø Bygade 58V, 6210 Barsø"
"Barsø Bygade 6, 6210 Barsø"
"Barsø Bygade 12, 6210 Barsø"
"Barsø Bygade 48, 6210 Barsø"
