"Skjoldbjergvej 4, 6623 Vorbasse"
"Lunden 4, 6623 Vorbasse"
"Lunden 6, 6623 Vorbasse"
"Lunden 8, 6623 Vorbasse"
"Lunden 10, 6623 Vorbasse"
"Lunden 12, 6623 Vorbasse"
"Lunden 14, 6623 Vorbasse"
"Tårngade 18, 6623 Vorbasse"
"Lunden 21, 6623 Vorbasse"
"Lunden 23, 6623 Vorbasse"
"Lunden 25, 6623 Vorbasse"
"Lunden 27, 6623 Vorbasse"
"Lunden 11, 6623 Vorbasse"
"Tårngade 16, st., 6623 Vorbasse"
"Lunden 18, 6623 Vorbasse"
"Tårngade 22, 6623 Vorbasse"
"Fromssejervej 18, 6623 Vorbasse"
"Nørregade 8C, 6623 Vorbasse"
"Nebelvej 33A, 6623 Vorbasse"
"Klinkvej 46, 6623 Vorbasse"
"Vestergade 1, 6623 Vorbasse"
"Dalagervej 6, 6623 Vorbasse"
"Østermosevej 7, 6623 Vorbasse"
"Slaugvej 10, 6623 Vorbasse"
"Dalgasvej 14, 6623 Vorbasse"
"Nebelvej 9, 6623 Vorbasse"
"Dalgasvej 16, 6623 Vorbasse"
"Nebelvej 10, 6623 Vorbasse"
"Degnelodden 1, 6623 Vorbasse"
"Nebelvej 11, 6623 Vorbasse"
"Degnelodden 3, 6623 Vorbasse"
"Nebelvej 12, 6623 Vorbasse"
"Degnelodden 5, 6623 Vorbasse"
"Nebelvej 13, 6623 Vorbasse"
"Degnelodden 7, 6623 Vorbasse"
"Nebelvej 14, 6623 Vorbasse"
"Degnelodden 9, 6623 Vorbasse"
"Nebelvej 15, 6623 Vorbasse"
"Degnelodden 11, 6623 Vorbasse"
"Nebelvej 16, 6623 Vorbasse"
"Degnelodden 13, 6623 Vorbasse"
"Nebelvej 17, 6623 Vorbasse"
"Tårngade 1, 6623 Vorbasse"
"Degnelodden 15, 6623 Vorbasse"
"Nebelvej 18, 6623 Vorbasse"
"Tårngade 2, 6623 Vorbasse"
"Degnelodden 17, 6623 Vorbasse"
"Nebelvej 19, 6623 Vorbasse"
"Tårngade 3, 6623 Vorbasse"
"Degnelodden 19, 6623 Vorbasse"
"Gejlvangvej 1, 6623 Vorbasse"
"Tårngade 4, 6623 Vorbasse"
"Degnelodden 21, 6623 Vorbasse"
"Gejlvangvej 2, 6623 Vorbasse"
"Nebelvej 21, 6623 Vorbasse"
"Tårngade 5, 6623 Vorbasse"
"Degnelodden 23, 6623 Vorbasse"
"Gejlvangvej 3, 6623 Vorbasse"
"Tårngade 6, 6623 Vorbasse"
"Østergade 1A, 1., 6623 Vorbasse"
"Degnelodden 25, 6623 Vorbasse"
"Gejlvangvej 4, 6623 Vorbasse"
"Højagervej 5, 6623 Vorbasse"
"Tårngade 7, 6623 Vorbasse"
"Degnelodden 27, 6623 Vorbasse"
"Højagervej 6, 6623 Vorbasse"
"Nebelvej 22, 6623 Vorbasse"
"Østergade 1B, 1. th, 6623 Vorbasse"
"Degnelodden 29, 6623 Vorbasse"
"Gilbjergvej 1, 6623 Vorbasse"
"Højagervej 7, 6623 Vorbasse"
"Nebelvej 23, 6623 Vorbasse"
"Østergade 1B, 1. tv, 6623 Vorbasse"
"Degnelodden 31, 6623 Vorbasse"
"Gilbjergvej 2, 6623 Vorbasse"
"Nebelvej 24, 6623 Vorbasse"
