"Vesterhavsvej 2A, Nr Tvismark, 6792 Rømø"
"Hattesvej 31, Tvismark, 6792 Rømø"
"C.L. Møllersvej 19, Toftum, 6792 Rømø"
"C.L. Møllersvej 15, Toftum, 6792 Rømø"
"C.L. Møllersvej 30, Toftum, 6792 Rømø"
"C.L. Møllersvej 32, Toftum, 6792 Rømø"
"C.L. Møllersvej 17, Toftum, 6792 Rømø"
"C.L. Møllersvej 38, Toftum, 6792 Rømø"
"C.L. Møllersvej 36, Toftum, 6792 Rømø"
"Nordstrup 1, Toftum, 6792 Rømø"
"Nordstrup 3, Toftum, 6792 Rømø"
"Nordstrup 5, Toftum, 6792 Rømø"
"Lakolk 188, st., Lakolk, 6792 Rømø"
"J Tagholmsvej 2, 1, Kromose, 6792 Rømø"
"Borrebjergvej 5B, Østerhede, 6792 Rømø"
"Lakolk 143, Lakolk, 6792 Rømø"
"Bodser Pedersensvej 4, Kromose, 6792 Rømø"
"Lyngvejen 67, Havneby, 6792 Rømø"
"Vestergade 105B, Havneby, 6792 Rømø"
"Vestergade 105A, Havneby, 6792 Rømø"
"Vestergade 107A, Havneby, 6792 Rømø"
"Vestergade 107B, Havneby, 6792 Rømø"
"Vestergade 109B, Havneby, 6792 Rømø"
"Vestergade 109A, Havneby, 6792 Rømø"
"Vestergade 111B, Havneby, 6792 Rømø"
"Vestergade 111A, Havneby, 6792 Rømø"
"Vestergade 113A, Havneby, 6792 Rømø"
"Vestergade 113B, Havneby, 6792 Rømø"
"Vestergade 153D, Havneby, 6792 Rømø"
"Vestergade 153B, Havneby, 6792 Rømø"
"Vestergade 153C, Havneby, 6792 Rømø"
"Vestergade 153A, Havneby, 6792 Rømø"
"Prilen 19, Kongsmark, 6792 Rømø"
"A Hveyselsvej 5, Vråby, 6792 Rømø"
"Fyrvej 14, Bolilmark, 6792 Rømø"
"Nordstrup 8, Toftum, 6792 Rømø"
"Hollænderstrædet 34, Havneby, 6792 Rømø"
"Hollænderstrædet 36, Havneby, 6792 Rømø"
"Hollænderstrædet 38, Havneby, 6792 Rømø"
"Hollænderstrædet 44, Havneby, 6792 Rømø"
"Hollænderstrædet 46, Havneby, 6792 Rømø"
"Hollænderstrædet 48, Havneby, 6792 Rømø"
"Lyngvejen 45A, Havneby, 6792 Rømø"
"Sneppen 5, Landsende, 6792 Rømø"
"J Tagholmsvej 29E, Kromose, 6792 Rømø"
"Lyngvejen 40, Havneby, 6792 Rømø"
"Gertrud Rasksvej 14, Kongsmark, 6792 Rømø"
"Småfolksvej 5A, st., Kongsmark, 6792 Rømø"
"Kromosevej 12, Kromose, 6792 Rømø"
"Nordre Havnevej 4, Havneby, 6792 Rømø"
"Nordre Havnevej 8, Havneby, 6792 Rømø"
"Nordre Havnevej 12, Havneby, 6792 Rømø"
"Nordre Havnevej 14, Havneby, 6792 Rømø"
"Nordre Havnevej 16, Havneby, 6792 Rømø"
"Nordre Havnevej 18, Havneby, 6792 Rømø"
"Nordre Havnevej 20, Havneby, 6792 Rømø"
"Nordre Havnevej 24, Havneby, 6792 Rømø"
"Nordre Havnevej 26, Havneby, 6792 Rømø"
"Nordre Havnevej 28, Havneby, 6792 Rømø"
"Nordre Havnevej 30, Havneby, 6792 Rømø"
"Nordre Havnevej 32, Havneby, 6792 Rømø"
"Nordre Havnevej 34, Havneby, 6792 Rømø"
"Nordre Havnevej 36, Havneby, 6792 Rømø"
"Nordre Havnevej 38, Havneby, 6792 Rømø"
"Nordre Havnevej 40, Havneby, 6792 Rømø"
"Nordre Havnevej 42, Havneby, 6792 Rømø"
"Nordre Havnevej 44, Havneby, 6792 Rømø"
"Nordre Havnevej 46, Havneby, 6792 Rømø"
"Nordre Havnevej 48, Havneby, 6792 Rømø"
"Nordre Havnevej 50, Havneby, 6792 Rømø"
"Nordre Havnevej 52, Havneby, 6792 Rømø"
