"Nørregade 1D, Hvidbjerg, 7790 Thyholm"
"Nørregade 1A, Hvidbjerg, 7790 Thyholm"
"Nørregade 1B, Hvidbjerg, 7790 Thyholm"
"Stokhøjvej 12, Søndbjerg, 7790 Thyholm"
"Nørregade 1C, 1. tv, Hvidbjerg, 7790 Thyholm"
"Nørregade 1E, Hvidbjerg, 7790 Thyholm"
"Nørregade 1C, 1. th, Hvidbjerg, 7790 Thyholm"
"Nørregade 1C, 2. tv, Hvidbjerg, 7790 Thyholm"
"Nørregade 1C, 2. th, Hvidbjerg, 7790 Thyholm"
"Hovedvejen 84, Barslev, 7790 Thyholm"
"Skovstien 10, Jegindø, 7790 Thyholm"
"Torvegade 9, Hvidbjerg, 7790 Thyholm"
"Tambobakken 14, Tambohus, 7790 Thyholm"
"Markvejen 7, Jegindø, 7790 Thyholm"
"Thorsvej 3A, Søndbjerg, 7790 Thyholm"
"Orkidevej 33, Hvidbjerg, 7790 Thyholm"
"Møllevænget 5A, Lyngs, 7790 Thyholm"
"Møllevænget 5B, Lyngs, 7790 Thyholm"
"Kongevejen 30A, Jegindø, 7790 Thyholm"
"J P Lauritsensvej 8, Jegindø, 7790 Thyholm"
"Skovvej 39, Sunddraget, 7790 Thyholm"
"Ahornvej 6, Serup, 7790 Thyholm"
"Storegade 2, Hvidbjerg, 7790 Thyholm"
"Birkevej 12, Serup, 7790 Thyholm"
"Orkidevej 27, Hvidbjerg, 7790 Thyholm"
"Lærkevej 12, Serup Strand, 7790 Thyholm"
"Sommerstedvej 50A, Lyngs Torp, 7790 Thyholm"
"Hovedvejen 115, Jestrup, 7790 Thyholm"
"Kirkegade 9, Hvidbjerg, 7790 Thyholm"
"Møllegade 1, Lyngs, 7790 Thyholm"
"Orkidevej 21, Hvidbjerg, 7790 Thyholm"
"Siriusvej 36, Uglev, 7790 Thyholm"
"Thyrasvej 1, Søndbjerg, 7790 Thyholm"
"Danavej 2, Lyngs Torp, 7790 Thyholm"
"Grønholmevej 21, Semb, 7790 Thyholm"
"Hovedvejen 116, Jestrup, 7790 Thyholm"
"Kirkestræde 2, Hvidbjerg, 7790 Thyholm"
"Møllegade 2, Lyngs, 7790 Thyholm"
"Orkidevej 23, Hvidbjerg, 7790 Thyholm"
"Siriusvej 38, Uglev, 7790 Thyholm"
"Søndbjerg Strandvej 8, Søndbjerg, 7790 Thyholm"
"Thyrasvej 2, Søndbjerg, 7790 Thyholm"
