"Revlingevej 9, Færker Vig, 7884 Fur"
"Marehalmvej 2, Færker Vig, 7884 Fur"
"Fyrvænget 13, Engelst Syd, 7884 Fur"
"Ulstedvej 52, Ulsted, 7884 Fur"
"Bjerregårds Bakke 35, Nederby, 7884 Fur"
"Rønsbjerg Kær 5, Ulsted, 7884 Fur"
"Engelstskovvej 13, Færker Vig, 7884 Fur"
"Madsbadvej 35, Madsbad, 7884 Fur"
"Rønsbjerg Kær 14, Ulsted, 7884 Fur"
"Hvirpgade 40, Hvirp, 7884 Fur"
"Hvirpgade 41, Hvirp, 7884 Fur"
"Hvirpgade 43, Hvirp, 7884 Fur"
"Nr. Madsbadvej 2, Nederby, 7884 Fur"
"Færkeroddevej 5, Ulsted, 7884 Fur"
"Hvirpgade 45, Hvirp, 7884 Fur"
"Knudevej 1, Anshede, 7884 Fur"
"Nr. Madsbadvej 4, Nederby, 7884 Fur"
"Færkeroddevej 7, Ulsted, 7884 Fur"
"Hvirpgade 47, Hvirp, 7884 Fur"
"Knudevej 2, Anshede, 7884 Fur"
"Nr. Madsbadvej 6, Nederby, 7884 Fur"
"Færkeroddevej 9, Ulsted, 7884 Fur"
"Hvirpgade 49, Hvirp, 7884 Fur"
"Koldkildevej 1, Debel, 7884 Fur"
"Nr. Madsbadvej 8, Madsbad, 7884 Fur"
"Færkeroddevej 11, Ulsted, 7884 Fur"
"Hvirpgade 51, Hvirp, 7884 Fur"
"Koldkildevej 2, Debel, 7884 Fur"
"Nr. Madsbadvej 11, Madsbad, 7884 Fur"
"Færkeroddevej 13, Ulsted, 7884 Fur"
"Hvirpgade 53, Hvirp, 7884 Fur"
"Koldkildevej 3, Debel, 7884 Fur"
"Nr. Madsbadvej 12, Madsbad, 7884 Fur"
"Færkeroddevej 15, Ulsted, 7884 Fur"
"Hvirpgade 55, Hvirp, 7884 Fur"
"Koldkildevej 4, Debel, 7884 Fur"
"Nr. Madsbadvej 13, Madsbad, 7884 Fur"
"Færkeroddevej 17, Ulsted, 7884 Fur"
"Engelstvej 1, Engelst, 7884 Fur"
"Hvirpgade 59, Hvirp, 7884 Fur"
"Koldkildevej 5, Debel, 7884 Fur"
"Nr. Madsbadvej 14, Madsbad, 7884 Fur"
"Færkeroddevej 19, Ulsted, 7884 Fur"
"Engelstvej 2, Engelst, 7884 Fur"
"Hvirpgade 61, Hvirp, 7884 Fur"
"Koldkildevej 6, Debel, 7884 Fur"
"Nr. Madsbadvej 16, Madsbad, 7884 Fur"
"Krogen 1, Engelst Syd, 7884 Fur"
"Engelstvej 4A, Engelst, 7884 Fur"
"Hvirpgade 63, Hvirp, 7884 Fur"
"Koldkildevej 7, Debel, 7884 Fur"
"Krogen 2, Engelst Syd, 7884 Fur"
"Engelstvej 4B, Engelst, 7884 Fur"
"Koldkildevej 8, Debel, 7884 Fur"
"Nr. Madsbadvej 19, Madsbad, 7884 Fur"
"Krogen 4, Engelst Syd, 7884 Fur"
"Engelstvej 6, Engelst, 7884 Fur"
"Koldkildevej 9, Debel, 7884 Fur"
"Sletten 1, Engelst Syd, 7884 Fur"
"Bette Jenses Vej 2, Nr. Debel, 7884 Fur"
"Engelstvej 8, Engelst, 7884 Fur"
"Nr. Madsbadvej 23, Madsbad, 7884 Fur"
"Sletten 2, Engelst Syd, 7884 Fur"
"Bette Jenses Vej 3, Nr. Debel, 7884 Fur"
"Engelstvej 10, Engelst, 7884 Fur"
"Koldkildevej 11, Søndergårde, 7884 Fur"
"Nr. Madsbadvej 24, Madsbad, 7884 Fur"
"Sletten 3, Engelst Syd, 7884 Fur"
"Bette Jenses Vej 4, Nr. Debel, 7884 Fur"
"Engelstvej 12, Engelst, 7884 Fur"
"Nr. Madsbadvej 25, Madsbad, 7884 Fur"
"Sletten 4, Engelst Syd, 7884 Fur"
"Bette Jenses Vej 5, Nr. Debel, 7884 Fur"
"Engelstvej 14, Engelst, 7884 Fur"
"Koldkildevej 13, Koldkilde, 7884 Fur"
"Nr. Madsbadvej 28, Madsbad, 7884 Fur"
"Sletten 5, Engelst Syd, 7884 Fur"
"Bette Jenses Vej 6, Nr. Debel, 7884 Fur"
"Koldkildevej 15, Koldkilde, 7884 Fur"
"Nr. Madsbadvej 30, Madsbad, 7884 Fur"
"Bette Jenses Vej 7, Nr. Debel, 7884 Fur"
"Koldkildevej 17, Koldkilde, 7884 Fur"
"Nr. Madsbadvej 32, Madsbad, 7884 Fur"
"Sletten 7, Engelst Syd, 7884 Fur"
"Bette Jenses Vej 8, Bakkerne, 7884 Fur"
"Nr. Madsbadvej 34, Madsbad, 7884 Fur"
"Sletten 8, Engelst Syd, 7884 Fur"
"Bette Jenses Vej 9, Nr. Debel, 7884 Fur"
"Nr. Madsbadvej 35, Madsbad, 7884 Fur"
"Sletten 10, Engelst Syd, 7884 Fur"
"Nr. Madsbadvej 37, Madsbad, 7884 Fur"
"Sletten 12, Engelst Syd, 7884 Fur"
"Nr. Madsbadvej 38, Madsbad, 7884 Fur"
"Skomagerstien 1, Nr. Debel, 7884 Fur"
"Fyrvænget 1, Engelst Syd, 7884 Fur"
"Fyrvænget 2, Engelst Syd, 7884 Fur"
"Skomagerstien 2, Nr. Debel, 7884 Fur"
"Fyrvænget 4, Engelst Syd, 7884 Fur"
"Skomagerstien 3, Nr. Debel, 7884 Fur"
"Skomagerstien 5, Nr. Debel, 7884 Fur"
