"Ørndrupvej 19, Karby, 7960 Karby"
"Næssundvej 349, V Hvidbjerg, 7960 Karby"
"Grønvænget 12, Karby, 7960 Karby"
"Næsørevej 3, Nees, 7960 Karby"
"Sensommervej 24, Karby, 7960 Karby"
"Ørndrupmark 12, Ørndrup, 7960 Karby"
"Grønvænget 14, Karby, 7960 Karby"
"Næsørevej 5, Nees, 7960 Karby"
"Sensommervej 27, Karby, 7960 Karby"
"Ørndrupmark 14, Ørndrup, 7960 Karby"
"Grønvænget 16, Karby, 7960 Karby"
"Næsørevej 7, Nees, 7960 Karby"
"Ørndrupmark 16, Ørndrup, 7960 Karby"
"Grønvænget 18, Karby, 7960 Karby"
"Næsørevej 8, Nees, 7960 Karby"
"Ørndrupmark 17, Ørndrup, 7960 Karby"
"Grønvænget 20, Karby, 7960 Karby"
"Næsørevej 9, Nees, 7960 Karby"
"Ørndrupvej 1, Karby, 7960 Karby"
"Grønvænget 22, Karby, 7960 Karby"
"Næsørevej 10, Nees, 7960 Karby"
"Ørndrupvej 3, Karby, 7960 Karby"
"Grønvænget 24, Karby, 7960 Karby"
"Næsørevej 11, Nees, 7960 Karby"
"Ørndrupvej 4, Karby, 7960 Karby"
"Grønvænget 26, Karby, 7960 Karby"
"Næsørevej 12, Nees, 7960 Karby"
"Ørndrupvej 5, Karby, 7960 Karby"
"Grønvænget 28, Karby, 7960 Karby"
"Næsørevej 13, Nees, 7960 Karby"
"Ørndrupvej 6, Karby, 7960 Karby"
"Næsørevej 14, Nees, 7960 Karby"
"Ørndrupvej 7, Karby, 7960 Karby"
"Næsørevej 15, Nees, 7960 Karby"
"Ørndrupvej 8, Karby, 7960 Karby"
"Næsørevej 17, Nees, 7960 Karby"
"Ørndrupvej 10, Karby, 7960 Karby"
"Næsørevej 18, Nees, 7960 Karby"
"Ørndrupvej 11, Karby, 7960 Karby"
"Næsørevej 19, Nees, 7960 Karby"
"Ørndrupvej 12, Karby, 7960 Karby"
"Ørndrupvej 13, Karby, 7960 Karby"
"Ørndrupvej 14, Karby, 7960 Karby"
"Ørndrupvej 15, Karby, 7960 Karby"
"Ørndrupvej 17, Karby, 7960 Karby"
"Ørndrupvej 18, Karby, 7960 Karby"
"Ørndrupvej 20, Karby, 7960 Karby"
"Ørndrupvej 21, Karby, 7960 Karby"
"Ørndrupvej 22, Karby, 7960 Karby"
"Ørndrupvej 23, Karby, 7960 Karby"
"Ørndrupvej 24, Karby, 7960 Karby"
"Ørndrupvej 25, Karby, 7960 Karby"
"Ørndrupvej 26, Karby, 7960 Karby"
"Ørndrupvej 27, Karby, 7960 Karby"
"Ørndrupvej 30, Karby, 7960 Karby"
"Ørndrupvej 32, Karby, 7960 Karby"
"Ørndrupvej 33, Karby, 7960 Karby"
"Ørndrupvej 34, Karby, 7960 Karby"
"Ørndrupvej 36, Karby, 7960 Karby"
"La Courvej 1, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 37, Karby, 7960 Karby"
"La Courvej 2, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 39, Karby, 7960 Karby"
"Ørndrupvej 40, Karby, 7960 Karby"
"La Courvej 5, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 47, Karby, 7960 Karby"
"La Courvej 12, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 48, Karby, 7960 Karby"
