"Næssundvej 174, Vils, 7980 Vils"
"Åbrinken 7A, Vils, 7980 Vils"
"Åbrinken 7B, Vils, 7980 Vils"
"Nørrealle 21, Vils, 7980 Vils"
"Kirkebakken 11, Vejerslev, 7980 Vils"
"Næssundvej 155, Vils, 7980 Vils"
"Præstegårdsvænget 3, Vejerslev, 7980 Vils"
"Smedebjergevej 92, Vejerslev, 7980 Vils"
"Næssundvej 156, st., Vils, 7980 Vils"
"Kirkebakken 14, Vejerslev, 7980 Vils"
"Smedebjergevej 94, Vejerslev, 7980 Vils"
"Kirkebakken 16, Vejerslev, 7980 Vils"
"Næssundvej 156, 1. tv, Vils, 7980 Vils"
"Skovkrogen 1, Vejerslev, 7980 Vils"
"Smedebjergevej 95, Vejerslev, 7980 Vils"
"Kirkebakken 20, Vejerslev, 7980 Vils"
"Næssundvej 157, Vils, 7980 Vils"
"Skovkrogen 2, Vejerslev, 7980 Vils"
"Smedebjergevej 96, Vejerslev, 7980 Vils"
"Næssundvej 161, Vils, 7980 Vils"
"Skovkrogen 3, Vejerslev, 7980 Vils"
"Smedebjergevej 98, Vejerslev, 7980 Vils"
"Skovkrogen 4, Vejerslev, 7980 Vils"
"Smedebjergevej 100, Vejerslev, 7980 Vils"
"Næssundvej 164, Vils, 7980 Vils"
"Skovkrogen 6, Vejerslev, 7980 Vils"
"Smedebjergevej 104, Vejerslev, 7980 Vils"
"Skovkrogen 8, Vejerslev, 7980 Vils"
"Smedebjergevej 105, Vejerslev, 7980 Vils"
"Skovkrogen 10, Vejerslev, 7980 Vils"
"Næssundvej 165, Vils, 7980 Vils"
"Skovkrogen 12, Vejerslev, 7980 Vils"
"Skovkrogen 14, Vejerslev, 7980 Vils"
"Næssundvej 167, Vils, 7980 Vils"
"Skovkrogen 15, Vejerslev, 7980 Vils"
"Næssundvej 169, Vils, 7980 Vils"
"Skovkrogen 16, Vejerslev, 7980 Vils"
"Næssundvej 170, Vils, 7980 Vils"
"Skovkrogen 18, Vejerslev, 7980 Vils"
"Næssundvej 171, Vils, 7980 Vils"
"Næssundvej 171A, Vils, 7980 Vils"
"Næssundvej 172, Vils, 7980 Vils"
"Næssundvej 173, Vils, 7980 Vils"
"Næssundvej 177, Vils, 7980 Vils"
"Næssundvej 178, Vils, 7980 Vils"
"Næssundvej 181, Vils, 7980 Vils"
"Næssundvej 182, Vils, 7980 Vils"
"Næssundvej 183, Vils, 7980 Vils"
"Næssundvej 184, Vils, 7980 Vils"
"Næssundvej 185, Vils, 7980 Vils"
"Bjørnsagervej 4, Vejerslev, 7980 Vils"
"Næssundvej 186, Vils, 7980 Vils"
"Bjørnsagervej 5, Vejerslev, 7980 Vils"
"Næssundvej 188, Vils, 7980 Vils"
"Bjørnsagervej 6, Vejerslev, 7980 Vils"
"Næssundvej 190, Vils, 7980 Vils"
"Bjørnsagervej 7, Vejerslev, 7980 Vils"
"Næssundvej 192, Vils, 7980 Vils"
"Nørrealle 6, Vils, 7980 Vils"
"Bjørnsagervej 8, Vejerslev, 7980 Vils"
"Næssundvej 194, Vils, 7980 Vils"
"Nørrealle 9, Vils, 7980 Vils"
"Bjørnsagervej 9, Vejerslev, 7980 Vils"
"Næssundvej 196, Vils, 7980 Vils"
"Nørrealle 10, Vils, 7980 Vils"
"Næssundvej 198, Vils, 7980 Vils"
"Nørrealle 11, Vils, 7980 Vils"
"Bjørnsagervej 11, Vejerslev, 7980 Vils"
"Næssundvej 204, Vils, 7980 Vils"
"Savværksvej 2, Vils, 7980 Vils"
"Bjørnsagervej 12, Vejerslev, 7980 Vils"
"Næssundvej 212, Vils, 7980 Vils"
"Nørrealle 13, Vils, 7980 Vils"
"Bjørnsagervej 13, Vejerslev, 7980 Vils"
