"Stranden 48, Ørding, 7990 Øster Assels"
"Kærstien 1, Sillerslev, 7990 Øster Assels"
"Kærstien 3, Sillerslev, 7990 Øster Assels"
"Brandbægervej 20, Ørding, 7990 Øster Assels"
"Gammel Færgevej 125, Sillerslev, 7990 Øster Assels"
"N. C. Rasmussens Vej 5, Øster Assels, 7990 Øster Assels"
"Engkærvej 11, Øster Assels, 7990 Øster Assels"
"A. Koldings Vej 6, Sillerslev, 7990 Øster Assels"
"Bygaden 31, Ørding, 7990 Øster Assels"
"Møllevej 1A, Ørding, 7990 Øster Assels"
"Møllevej 1B, Ørding, 7990 Øster Assels"
"Møllevej 1C, Ørding, 7990 Øster Assels"
"Møllevej 1D, Ørding, 7990 Øster Assels"
"Stadionvej 4A, Øster Assels, 7990 Øster Assels"
"Stadionvej 4B, Øster Assels, 7990 Øster Assels"
"Stadionvej 4C, Øster Assels, 7990 Øster Assels"
"B. Nielsens Vej 12, Sillerslev, 7990 Øster Assels"
"Brandbægervej 7, Ørding, 7990 Øster Assels"
"Asselsvej 139, Storup, 7990 Øster Assels"
"Kongehøjvej 8, Centrum, 7990 Øster Assels"
"Ålekistevej 42, V Assels, 7990 Øster Assels"
"Asselsvej 140, Storup, 7990 Øster Assels"
"Brandbægervej 8, Ørding, 7990 Øster Assels"
"Kongehøjvej 11, Centrum, 7990 Øster Assels"
"Årbækmøllevej 1, Ørding, 7990 Øster Assels"
"Brandbægervej 9, Ørding, 7990 Øster Assels"
"Kongehøjvej 13, Ljørslev, 7990 Øster Assels"
"Serupsvej 6, V Assels, 7990 Øster Assels"
"Årbækmøllevej 3, Ørding, 7990 Øster Assels"
"Asselsvej 143, Storup, 7990 Øster Assels"
"Brandbægervej 10, Ørding, 7990 Øster Assels"
"Kongehøjvej 15, Ørding, 7990 Øster Assels"
"Serupsvej 7, V Assels, 7990 Øster Assels"
"Årbækmøllevej 9, Ørding, 7990 Øster Assels"
"Asselsvej 144, Storup, 7990 Øster Assels"
"Brandbægervej 11, Ørding, 7990 Øster Assels"
"Kongehøjvej 17, Ørding, 7990 Øster Assels"
"Serupsvej 8, V Assels, 7990 Øster Assels"
"Årbækmøllevej 10, Ørding, 7990 Øster Assels"
"Asselsvej 145, Storup, 7990 Øster Assels"
"Brandbægervej 12, Ørding, 7990 Øster Assels"
"Serupsvej 10, V Assels, 7990 Øster Assels"
"Asselsvej 146, Storup, 7990 Øster Assels"
"Brandbægervej 14, Ørding, 7990 Øster Assels"
"Kongehøjvej 19, Ørding, 7990 Øster Assels"
"Årbækmøllevej 15, Ørding, 7990 Øster Assels"
"Asselsvej 148, Storup, 7990 Øster Assels"
"Brandbægervej 16, Ørding, 7990 Øster Assels"
"Kongehøjvej 20, Ørding, 7990 Øster Assels"
"Skallevej 1, Sillerslev, 7990 Øster Assels"
"Årbækmøllevej 16, Ørding, 7990 Øster Assels"
"Brandbægervej 18, Ørding, 7990 Øster Assels"
"Kongehøjvej 21, Ørding, 7990 Øster Assels"
"Skallevej 3, Sillerslev, 7990 Øster Assels"
"Årbækmøllevej 17, Ørding, 7990 Øster Assels"
"Asselsvej 150, Storup, 7990 Øster Assels"
"Skallevej 4, Sillerslev, 7990 Øster Assels"
"Årbækmøllevej 18, Ørding, 7990 Øster Assels"
"Asselsvej 151, Storup, 7990 Øster Assels"
"Kongehøjvej 31, Ørding, 7990 Øster Assels"
