"Højagervej 19, Farre, 8472 Sporup"
"Højagervej 16, Farre, 8472 Sporup"
"Højagervej 7, Farre, 8472 Sporup"
"Skjoldsbjergvej 16, Toustrup Mark, 8472 Sporup"
"Skjoldsbjergvej 31, Toustrup Mark, 8472 Sporup"
"Skjoldsbjergvej 35, Toustrup Mark, 8472 Sporup"
"Skjoldsbjergvej 37, Toustrup Mark, 8472 Sporup"
"Skjoldsbjergvej 39, Toustrup Mark, 8472 Sporup"
"Skjoldsbjergvej 41, Toustrup Mark, 8472 Sporup"
"Skjoldsbjergvej 43, Toustrup Mark, 8472 Sporup"
"Skjoldsbjergvej 45, Toustrup Mark, 8472 Sporup"
"Skjoldsbjergvej 47, Toustrup Mark, 8472 Sporup"
"Højagervej 10, Farre, 8472 Sporup"
"Højagervej 17, Farre, 8472 Sporup"
"Farre Hedevej 65, 8472 Sporup"
"Skanderborgvej 231, Farre, 8472 Sporup"
"Skanderborgvej 235, Farre, 8472 Sporup"
"Vandværksvej 5, Farre, 8472 Sporup"
"Lykkegårdsvej 386A, Toustrup Mark, 8472 Sporup"
"Skanderborgvej 240, Farre, 8472 Sporup"
"Vandværksvej 6, Farre, 8472 Sporup"
"Lykkegårdsvej 386B, Toustrup Mark, 8472 Sporup"
"Skanderborgvej 270, Farre, 8472 Sporup"
"Vandværksvej 8, Farre, 8472 Sporup"
"Lykkegårdsvej 388, Toustrup Mark, 8472 Sporup"
"Skanderborgvej 276, Farre, 8472 Sporup"
"Vandværksvej 9, Farre, 8472 Sporup"
"Lykkegårdsvej 390, Toustrup Mark, 8472 Sporup"
"Vandværksvej 10, Farre, 8472 Sporup"
"Lykkegårdsvej 392, Toustrup Mark, 8472 Sporup"
"Vandværksvej 11, Farre, 8472 Sporup"
"Lykkegårdsvej 394, Toustrup Mark, 8472 Sporup"
"Vandværksvej 13, Farre, 8472 Sporup"
"Lykkegårdsvej 396, Toustrup Mark, 8472 Sporup"
"Vandværksvej 15, Farre, 8472 Sporup"
"Lykkegårdsvej 398, Toustrup Mark, 8472 Sporup"
"Vandværksvej 17, Farre, 8472 Sporup"
"Lykkegårdsvej 400, Toustrup Mark, 8472 Sporup"
"Vandværksvej 19, Farre, 8472 Sporup"
"Vandværksvej 21, Farre, 8472 Sporup"
"Vandværksvej 28, Farre, 8472 Sporup"
"Farrevej 111, 8472 Sporup"
"Skytsbjergvej 1, Lyngby, 8472 Sporup"
"Farrevej 139, 8472 Sporup"
"Skytsbjergvej 2, Lyngby, 8472 Sporup"
"Farrevej 160, 8472 Sporup"
"Farrevej 179, 8472 Sporup"
"Skytsbjergvej 15, Lyngby, 8472 Sporup"
"Buen 1, Farre, 8472 Sporup"
"Farrevej 180, 8472 Sporup"
"Skytsbjergvej 16, Lyngby, 8472 Sporup"
"Buen 2, Farre, 8472 Sporup"
"Gl Skanderborgvej 63, Farre, 8472 Sporup"
"Skytsbjergvej 20, Lyngby, 8472 Sporup"
"Buen 3, Farre, 8472 Sporup"
"Skytsbjergvej 25, Lyngby, 8472 Sporup"
"Buen 4, Farre, 8472 Sporup"
"Skytsbjergvej 40, Lyngby, 8472 Sporup"
"Buen 5, Farre, 8472 Sporup"
"Skytsbjergvej 46, Lyngby, 8472 Sporup"
"Buen 6, Farre, 8472 Sporup"
"Skytsbjergvej 50, Lyngby, 8472 Sporup"
"Toustrup Stationsvej 33, Røgen, 8472 Sporup"
"Toustrup Stationsvej 35, Røgen, 8472 Sporup"
"Toustrupvej 1, Røgen, 8472 Sporup"
"Toustrupvej 2, Røgen, 8472 Sporup"
"Toustrupvej 3, Røgen, 8472 Sporup"
"Toustrupvej 5, Røgen, 8472 Sporup"
"Toustrupvej 6, Røgen, 8472 Sporup"
"Toustrupvej 7, Røgen, 8472 Sporup"
"Søgårdsvej 2, Farre, 8472 Sporup"
"Toustrupvej 8, Røgen, 8472 Sporup"
"Søgårdsvej 4, Farre, 8472 Sporup"
"Toustrupvej 10, Røgen, 8472 Sporup"
"Søgårdsvej 6, Farre, 8472 Sporup"
"Toustrupvej 12, Røgen, 8472 Sporup"
"Toustrupvej 16, Røgen, 8472 Sporup"
"Røddikvej 60, Farre, 8472 Sporup"
"Toustrupvej 18, Røgen, 8472 Sporup"
"Røddikvej 130, Røgen, 8472 Sporup"
"Toustrupvej 20, Røgen, 8472 Sporup"
"Røddikvej 135, Røgen, 8472 Sporup"
"Toustrupvej 21, Røgen, 8472 Sporup"
"Toustrupvej 22, Røgen, 8472 Sporup"
"Røddikvej 155, Røgen, 8472 Sporup"
"Toustrupvej 24, Røgen, 8472 Sporup"
"Røgen Hedevej 40, Røgen, 8472 Sporup"
"Toustrupvej 25, Røgen, 8472 Sporup"
"Røgen Hedevej 51, Røgen, 8472 Sporup"
"Røgen Hedevej 85, Røgen, 8472 Sporup"
"Toustrupvej 30, Røgen, 8472 Sporup"
"Røgen Hedevej 145, Røgen, 8472 Sporup"
"Røgen Hedevej 148, Røgen, 8472 Sporup"
"Toustrupvej 34, Røgen, 8472 Sporup"
"Røgen Hedevej 150, Røgen, 8472 Sporup"
"Toustrupvej 35, Røgen, 8472 Sporup"
"Røgenvej 1, Røgen, 8472 Sporup"
"Toustrupvej 37, Røgen, 8472 Sporup"
"Røgenvej 2, Røgen, 8472 Sporup"
"Toustrupvej 41, Røgen, 8472 Sporup"
"Skolemestervej 1, Farre, 8472 Sporup"
"Toustrupvej 47, Røgen, 8472 Sporup"
"Røgenvej 7, Røgen, 8472 Sporup"
"Toustrupvej 49, Røgen, 8472 Sporup"
"Røgenvej 9, Røgen, 8472 Sporup"
"Skolemestervej 3, Farre, 8472 Sporup"
"Toustrupvej 50, Røgen, 8472 Sporup"
"Røgenvej 11, Røgen, 8472 Sporup"
"Skolemestervej 4, Farre, 8472 Sporup"
"Toustrupvej 52, Røgen, 8472 Sporup"
"Røgenvej 13, Røgen, 8472 Sporup"
"Skolemestervej 5, Farre, 8472 Sporup"
"Røgenvej 40, Røgen, 8472 Sporup"
"Skolemestervej 7, Farre, 8472 Sporup"
"Toustrupvej 60, Røgen, 8472 Sporup"
"Skolemestervej 9, Farre, 8472 Sporup"
"Toustrupvej 70, Røgen, 8472 Sporup"
"Røgenvej 60, Røgen, 8472 Sporup"
"Skolemestervej 11, Farre, 8472 Sporup"
"Toustrupvej 80, Røgen, 8472 Sporup"
"Vestergårdsvej 25, Røgen, 8472 Sporup"
"Røgenvej 75, Røgen, 8472 Sporup"
"Toustrupvej 115, Røgen, 8472 Sporup"
"Vestergårdsvej 35, Røgen, 8472 Sporup"
"Toustrupvej 120, Røgen, 8472 Sporup"
"Vestergårdsvej 45, Røgen, 8472 Sporup"
"Toustrupvej 130, Røgen, 8472 Sporup"
"Vestergårdsvej 60, Røgen, 8472 Sporup"
"Toustrupvej 135, Røgen, 8472 Sporup"
"Vestergårdsvej 75, Røgen, 8472 Sporup"
"Lykkegårdsvej 245, Farre, 8472 Sporup"
"Lykkegårdsvej 295, Farre, 8472 Sporup"
"Lykkegårdsvej 299, Farre, 8472 Sporup"
"Lykkegårdsvej 310, Røgen, 8472 Sporup"
"Lykkegårdsvej 340, Røgen, 8472 Sporup"
"Skørringvej 15, Farre, 8472 Sporup"
"Skørringvej 30, Farre, 8472 Sporup"
"Skørringvej 38, Farre, 8472 Sporup"
"Skørringvej 44, Farre, 8472 Sporup"
"Skørringvej 50, Farre, 8472 Sporup"
"Skanderborgvej 280, Toustrup, 8472 Sporup"
"Skørringvej 61, Farre, 8472 Sporup"
"Ovstrupvej 25, Røgen, 8472 Sporup"
"Skørringvej 65, Farre, 8472 Sporup"
"Ovstrupvej 75, Røgen, 8472 Sporup"
"Skørringvej 66, Farre, 8472 Sporup"
"Ovstrupvej 95, Røgen, 8472 Sporup"
"Skørringvej 85, Farre, 8472 Sporup"
"Skørringvej 98, Farre, 8472 Sporup"
"Skørringvej 100, Farre, 8472 Sporup"
"Skjoldsbjergvej 8, Skjørring, 8472 Sporup"
"Lyngbyvej 8, 8472 Sporup"
"Lyngbyvej 12, 8472 Sporup"
