"Halvej 13, 9830 Tårs"
"Bjørnstrupvej 47, 9830 Tårs"
"Trangetvej 675A, 9830 Tårs"
"Tårs Møllegade 16, 9830 Tårs"
"Tårs Møllegade 18, 9830 Tårs"
"Damhusvej 15, 9830 Tårs"
"Gadekæret 1A, 9830 Tårs"
"Skovbovej 31, Ås Mark, 9830 Tårs"
"Damhusvej 62, 9830 Tårs"
"Engholmvej 11, Sæsing, 9830 Tårs"
"Gadekæret 20, 9830 Tårs"
"Melbækvej 271A, 9830 Tårs"
"Morild Hedevej 3, 9830 Tårs"
"Morild Hedevej 4, 9830 Tårs"
"Morild Hedevej 1, 9830 Tårs"
"Morild Hedevej 2, 9830 Tårs"
"Morild Hedevej 6, 9830 Tårs"
"Morildvej 2, 9830 Tårs"
"Morildvej 6, 9830 Tårs"
"Morildvej 5, 9830 Tårs"
"Morildvej 216E, 9830 Tårs"
"Hjabelundvej 49C, 9830 Tårs"
"Hjabelundvej 123, 9830 Tårs"
"Nybovej 1, 9830 Tårs"
"Klarupvej 285, Morild, 9830 Tårs"
"Klarupvej 139, Morild, 9830 Tårs"
"Klosterbakken 6, 9830 Tårs"
"Klosterbakken 9, 9830 Tårs"
"Klosterbakken 4, 9830 Tårs"
"Klosterbakken 8, 9830 Tårs"
"Klosterbakken 2, 9830 Tårs"
"Koldbrovej 33, 9830 Tårs"
"Plumbjergvej 9, Morild, 9830 Tårs"
"Præstebakken 6, 9830 Tårs"
"Præstebakken 10, 9830 Tårs"
"Rævmosevej 11, Morild, 9830 Tårs"
"Terpetvej 421, 9830 Tårs"
"Terpetvej 334, 9830 Tårs"
"Skæggesholtvej 110G, 9830 Tårs"
"Tidemandsholmsvej 4, Sæsing, 9830 Tårs"
"Tidemandsholmsvej 3, Sæsing, 9830 Tårs"
"Tidemandsholmsvej 5, Sæsing, 9830 Tårs"
"Stendalvej 490, 9830 Tårs"
"Trangetvej 275, 9830 Tårs"
"Sæbyvej 710, 9830 Tårs"
"Sæby Landevej 456, 9830 Tårs"
"Sæsingvej 4, 9830 Tårs"
"Tværvej 6, 9830 Tårs"
"Søholmvej 30, 9830 Tårs"
"Sæsingvej 19, 9830 Tårs"
"Søholmvej 32C, 9830 Tårs"
"Søholmvej 32B, 9830 Tårs"
"Sørupvej 70, 9830 Tårs"
"Søparken 18, 9830 Tårs"
"Klosterbakken 5, 9830 Tårs"
"Søparken 24, 9830 Tårs"
"Bredgade 125, 9830 Tårs"
"Brobakvej 9, 9830 Tårs"
"Sæby Landevej 381, 9830 Tårs"
"Søparken 25, 9830 Tårs"
"Søparken 49, 9830 Tårs"
"Bredgade 89D, 9830 Tårs"
"Magsvej 1A, 9830 Tårs"
"Magsvej 1B, 9830 Tårs"
"Kokmosevej 45, 9830 Tårs"
"Stenskrogvej 45, 9830 Tårs"
"Terpetvej 354, 9830 Tårs"
"Tårs Møllevej 8, 9830 Tårs"
"Kokmosevej 47, 9830 Tårs"
"Stenskrogvej 151, 9830 Tårs"
"Terpetvej 400, 9830 Tårs"
"Stenskrogvej 160, 9830 Tårs"
"Stenslundvej 39, 9830 Tårs"
"Terpetvej 416, 9830 Tårs"
"Stenslundvej 59, 9830 Tårs"
"Terpetvej 418, 9830 Tårs"
"Koldbromøllevej 42, 9830 Tårs"
"Stenslundvej 60, 9830 Tårs"
"Lille Barholtvej 10, 9830 Tårs"
"Stenslundvej 90, 9830 Tårs"
"Terpetvej 423, 9830 Tårs"
